ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
IVC5,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ESRD (requiring hemodialysis): Adults: IV¡A Oral: 60 to 100 mg once daily is sufficient to prevent serious ascorbate deficiency due to loss from dialysis; doses >100 mg daily may lead to secondary oxalosis and renal oxalate stone formation.,,201804231727,
IVEK,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¦¨¤H¡BÀ¦¨à¡B¨àµ£¤Î¸û¤j¨àµ£: ¤£«ØÄ³¨Ï¥Î¡C¥u¦³¦b¼ç¦b®Ä¯q¶W¶V¼ç¦b­·ÀIªº±¡ªp¤U¤~¥i¦Ò¼{§ë¤©,¥é³æ,202106091140,202301041112
IVEK,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Use not recommended. Remdesivir pharmacokinetics have not been evaluated in patients with renal impairment; possible accumulation of the excipient betadex sulfobutyl ether sodium may occur in patients with decreased renal function.,Micromedex 20210609,202106091143,202301041111
IVEKS,¦¨¤H,eGFR,0,29.99,mL/min/1.73m2,mL/min/1.73m2,Use not recommended. Remdesivir pharmacokinetics have not been evaluated in patients with renal impairment; possible accumulation of the excipient betadex sulfobutyl ether sodium may occur in patients with decreased renal function.,Micromedex 20210609,202301041111,
IVEKS,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¦¨¤H¡BÀ¦¨à¡B¨àµ£¤Î¸û¤j¨àµ£: ¤£«ØÄ³¨Ï¥Î¡C¥u¦³¦b¼ç¦b®Ä¯q¶W¶V¼ç¦b­·ÀIªº±¡ªp¤U¤~¥i¦Ò¼{§ë¤©¡C,¥é³æ,202301041111,
IVER,¦¨¤H,Clcr,0,0,mL/min,mL/min,If repeated IV doses are necessary¡A give smaller doses and closely monitor PR interval and blood pressure,,201804121510,201804121510
IVFEN,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,·|«ØÄ³§ï¦¨¤fªA¤è¦¡ªvÀø(¤fªA¤£·|¨üµÇ¥\¯à»ÙÃª¼vÅT),,,
IVIM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¥i¦³®Ä²M°£¦å¼ß¤¤ªº Lacosamide¡C4 ¤p®Éªº¦å²G³zªRªvÀø«á¡AÀ³¦Ò¼{¸É¥R³Ì¦h 50%ªº¾¯¶q¡C,¥é³æ,202008031608,202008031607
IVIM,¦¨¤H,Clcr,0.01,0,mL/min,mL/min,Removed by hemodialysis; after 4-hour hemodialysis treatment¡A a supplemental dose of up to 50% should be considered.,UpToDate 20200803,202008031615,202008031611
IVIM,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,CrCl <30 mL/minute: Reduce dose to 75% of the maximum dose.,UpToDate 20200803,202008031610,202008031611
IVIM,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,CLCR§C©ó30²@¤É/¤ÀÄÁ/1.73¤½¤Ø2:«ØÄ³´î¤Ö³Ì¤j¾¯¶qªº25%¡C,¥é³æ,201912121034,202008031607
IVIM,¦¨¤H,Clcr,60.00,29.99,mL/min,mL/min,CrCl >=30 mL/minute: No dosage adjustment necessary.,UpToDate 20200803,202008031611,202008031613
IVIM,¨àµ£,Clcr,30.00,0,mL/min,mL/min,CLCR§C©ó30²@¤É/¤ÀÄÁ/1.73¤½¤Ø2:«ØÄ³´î¤Ö³Ì¤j¾¯¶qªº25%¡C,¥é³æ,202008031605,202008031609
IVOR,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Moderate to severe impairment: Use is not recommended; contraindicated in patients in the perioperative period and who are at risk for volume depletion.,,201912091140,201912091140
IXOL,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,,201804191020,
IXOL0,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,,201804191019,
IXYL2V,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à±wªÌ·|¦]¥NÁÂ¿ð½w¦Ó¤Þ°_¦å¼ß¤¤¿@«×¤W¤É¡A¬GÂÔ·V¨Ï¥Î¤§,,201804191548,201804191548
IZOV,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,50%¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,
IZOV,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:an additional dose is recommended after each dialysis,,,
IZOV,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,
IZOV,¦¨¤H,Clcr,26.00,50.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j12¤p®É,,,
LAMO5,¨àµ£,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,Mild to moderate infection(based on 25-50mg/kg/day¡AQ8H): 8-20mg/kg/dose¡AQ24H. Severe infection or high dose(based on 80-90mg/kg/day¡AQ12H): 20mg/kg/dose¡AQ24H; do not use the 875mg tablet.,Lexicomp(UpToDate). 2022/10/12,202210121531,202210121534
LAMO5,¨àµ£,eGFR,10.00,29.00,mL/min/1.73m2,mL/min/1.73m2,Mild to moderate infection(based on 25-50mg/kg/day¡AQ8H): 8-20mg/kg/dose¡AQ12H. Severe infection or high dose(based on 80-90mg/kg/day¡AQ12H): 20mg/kg/dose¡AQ12H; do not use the 875mg tablet.,Lexicomp(UpToDate). 2022/10/12,202210121524,202210121534
LAMO6,¦¨¤H,eGFR,0,0,mL/min,mL/min,250 to 500 mg every 24 hours; administer after dialysis on dialysis day,¦å²G³zªR±wªÌ (Aronoff 2007),201803261607,202004021622
LAMO6,¦¨¤H,eGFR,0,10.00,mL/min,mL/min,GFR <10 mL/min: 250 to 500 mg every 24 hours,Lexi-Drugs. Lexicomp.,201803261606,202004021622
LAMO6,¦¨¤H,eGFR,10.00,30.00,mL/min,mL/min,GFR 10-30 mL/min: 250 to 500 mg every 12 hours,Lexi-Drugs. Lexicomp.,201803261606,202004021622
LAUG3,¨àµ£,eGFR,0.01,29.99,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201803261610,201803261610
LAZI,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,¶·ÂÔ·V¨Ï¥Î,¥é³æ,202210061458,202210131504
LAZI,¦¨¤H,eGFR,10.00,80.00,mL/min/1.73m2,mL/min/1.73m2,µL¶·½Õ¾ã¾¯¶q,¥é³æ,202210061458,202210131504
LBIS,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191043,
LCAR,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃª¤ÎµL§¿±Æªn¯f¤H¡A¥b°I´Á¥i¯à©µªø¦Ü100¤p®É¡A¦]¦¹¥i¯à»Ý­n´î¤Öºû«ù¾¯¶q¡C,,201804120035,201804120035
LCEF,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,creatinine clearance less than 10 mL/minute¡A 50% of the normal dose,Micromedex 20210105,202101051508,
LCEF,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,creatinine clearance 10 to 50 mL/minute¡A 50% to 100% of the normal dose,Micromedex 20210105,202101051507,
LCET,¦¨¤H,eGFR,0,49.90,mL/min/1.73m2,mL/min/1.73m2,5 mg once daily,,201804231453,
LCET,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,Intermittent hemodialysis: 5 mg once daily; 5 mg 3 times per week may also be effective.,,201804231454,
LCET,¨àµ£,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,µÇ¥\¯à¤£¥þªº±wªÌªA¥Î¥»ÃÄ®É¡A¨ä¾¯¶qÀ³´î¥b,,201804250002,201804250002
LCLO,¨àµ£,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,©úÅãµÇ¥\¯à·l®`ªÌ¸T¥Î,[¥é³æ],202006161022,202006161022
LCOFS,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191045,
LFUL,¦¨¤H,Scr,0,1.05,mg/dL,mg/dL,ÃÄ«~¥é³æ«ØÄ³½Ð¤Å¨Ï¥Î©óµÇÅ¦¯e¯fªº±wªÌ¡C,,201804021207,201804021206
LFUL,¦¨¤H,eGFR,0,60.00,mL/min/1.73m2,mL/min/1.73m2,ÃÄ«~¥é³æ«ØÄ³½Ð¤Å¨Ï¥Î©óµÇÅ¦¯e¯fªº±wªÌ¡C,,201804021206,201804021206
LFUL,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,ÃÄ«~¥é³æ«ØÄ³½Ð¤Å¨Ï¥Î©óµÇÅ¦¯e¯fªº±wªÌ¡C,,201804021207,201804021206
LFUM,¦¨¤H,eGFR,0,60.00,mL/min/1.73m2,mL/min/1.73m2,Acute renal failure: Doses up to 1 to 3 g daily may be necessary to initiate desired response; avoid use in oliguric states. Dialysis: Not removed by hemo- or peritoneal dialysis; supplemental dose is not necessary.,,201807261507,201807261509
LIDO1,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use.(KDIGO 2012 guidelines),,201912091124,201912091123
LIDO1,¦¨¤H,eGFR,30.00,60.00,mL/min/1.73m2,mL/min/1.73m2,Avoid use in patients with intercurrent disease that increases risk of acute kidney injury.(KDIGO 2012 guidelines),,201912091123,201912091123
LKEP,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,250 to 500 mg orally every 12 hours,,201804160418,201804160418
LKEP,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,250 to 750 mg orally every 12 hours,,201804160417,
LKEP,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,500 to 1000 mg orally every 12 hours,,201804160417,
LKID,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804231416,201804231416
LMEP6,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191043,
LMUS2,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191015,
LPIR,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,¸T¥Î,,201804160611,201804160611
LPIR,¦¨¤H,Clcr,20.00,30.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/6¡A¨C¤é¤@¦¸ªA¥Î,,201804160611,
LPIR,¦¨¤H,Clcr,30.00,49.00,mL/min,mL/min,¥¿±`¾¯¶qªº1/3¡A¨C¤é¤À¨â¦¸ªA¥Î,,201804160611,
LPIR,¦¨¤H,Clcr,50.00,79.00,mL/min,mL/min,¥¿±`¾¯¶qªº2/3¡A¨C¤é¤À¨â¨ì¤T¦¸ªA¥Î,,201804160610,
LRIS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Initial¡A 0.5 mg orally twice daily; increase dose in increments of no more than 0.5 mg twice a day¡A with increases to dosages above 1.5 mg twice a day occurring at intervals of at least 1 week,,201804142348,201804142348
LSEC,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191047,
LSUL,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,,
LSUL,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,one-half the usual dose,,,
LSUR,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's labeling.,,201804191017,
LTRIL,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ªvÀø¾¯¶qÀ³¬°¤@¯ë°_©l¾¯¶qÀ³¬°¤@¥b(¨C¤Ñ300mg)¡A¦A³vº¥¼W¥[¾¯¶q¥H¹F¨ì²z·QªºÁ{§É®ÄªG,,201804160419,201804160423
LULE,¦¨¤H,Clcr,1.00,4.00,mL/min,mL/min,250mg every 48 or 60 hours,,201803261651,201803261650
LULE,¦¨¤H,Clcr,5.00,14.00,mL/min,mL/min,250mg every 24 hours,,201803261650,201803261650
LULE,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,250mg every 8 or 12 hours,,201803261650,201803261650
LULE,¦¨¤H,Clcr,30.00,59.00,mL/min,mL/min,¤£»Ý½Õ¾ã,¤W­­1g/day,201803261650,201803261650
LWEM,¦¨¤H,Clcr,0,0,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þ±wªÌ¡A«ØÄ³¨Ì·ÓµÇ¥\¯à¨ü·lµ{«×½Õ¾ãµ¹ÃÄ¶¡¹j¬°¤@¤Ñ1~2¦¸,,201804141441,201804141441
LZIT,¦¨¤H,Clcr,0,9.00,mL/min,mL/min,À³ÂÔ·V¥ÎÃÄ,,,
LZIT,¦¨¤H,Clcr,10.00,80.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,,
OACAM,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,CrCl 30 mL/min or less¡A not recommended,,202002181022,
OACAM,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,CrCl between 30-50 mL/min¡A 333 mg ORALLY 3 times daily,,202002181022,
OACC6,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's.,,201804191048,
OACE5,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,2.5 mg on the day of dialysis.,,201811291448,201811291447
OACE5,¦¨¤H,Clcr,15.01,29.99,mL/min,mL/min,2.5 mg every other day.,,201804121556,201811291447
OACE5,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,2.5 mg per day.,,201804121557,201811291445
OACET,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804121428,201804121428
OACET,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,increase dosing interval to every 12 hours,,201804121428,
OACET,¦¨¤H,eGFR,50.00,0,mL/min/1.73m2,mL/min/1.73m2,increase dosing interval to every 6 hours,,201804121428,
OACH,¦¨¤H,eGFR,10.00,0,mL/min/1.73m2,mL/min/1.73m2,Acetaminophen: Increase dosing interval to every 8 hours for adults and children,Micromedex20200923,202009230906,202009230908
OACH,¦¨¤H,eGFR,50.00,10.00,mL/min/1.73m2,mL/min/1.73m2,Acetaminophen: Adult¡A increase dosing interval to every 6 hours,Micromedex20200923,202009230907,202009230908
OACH,¨àµ£,eGFR,10.00,0,mL/min/1.73m2,mL/min/1.73m2,Acetaminophen: Increase dosing interval to every 8 hours for adults and children,Micromedex20200923,202009230906,202009230908
OACH,¨àµ£,eGFR,50.00,10.00,mL/min/1.73m2,mL/min/1.73m2,Acetaminophen: pediatric¡A give usual weight- or age-based dose,Micromedex20200923,202009230907,202009230909
OAGT,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¸T¤î¨Ï¥Î©ó­««×µÇ¥\¯à¤£¥þ¯f¤H¡C,¥é³æ,202206271428,
OAGT,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,«ØÄ³°_©l¾¯¶q¬°¨C¤é¤T¦¸¡A¨C¦¸ªA¥Î¤@¿õ333²@§JÃÄ¿õ¡C,¥é³æ,202206271427,
OAKY,¦¨¤H,eGFR,1.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment¡A severe or ESRD: Avoid use,Micromedex 20201007,202010071059,
OALL6,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,Intermittent hemodialysis or peritoneal dialysis: Recommended dose every 24 hours.,,201804231510,
OALL6,¦¨¤H,eGFR,0,9.99,mL/min/1.73m2,mL/min/1.73m2,Recommended dose every 24 hours.,,201804231500,
OALL6,¦¨¤H,eGFR,10.00,50.00,mL/min/1.73m2,mL/min/1.73m2,Recommended dose every 12 to 24 hours.,,201804231500,
OAMA,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à·l¶ËªÌ¤Î¦å²G³zªR±wªÌ¡A«ØÄ³°_©l¾¯¶q¬°1mg/¤Ñ,,201804111613,201804112332
OAMIZ,¦¨¤H,Clcr,0,0,mL/min,mL/min,³¬§¿.«æ©ÊµÇ°IºÜ.ÄY­«¶i¦æ©ÊµÇ¯f±w¤£«ØÄ³¨Ï¥Î,,201804121432,201804121432
OAMO2,¦¨¤H,eGFR,0,0,mL/min,mL/min,250 to 500 mg every 24 hours; administer after dialysis on dialysis day,¦å²G³zªR±wªÌ (Aronoff 2007),201803261626,202004021620
OAMO2,¦¨¤H,eGFR,0.01,10.00,mL/min,mL/min,GFR <10 mL/min: 250 to 500 mg every 24 hours,Lexi-Drugs. Lexicomp,201803261626,202004021620
OAMO2,¦¨¤H,eGFR,10.00,30.00,mL/min,mL/min,GFR 10-30 mL/min: 250 to 500 mg every 12 hours,Lexi-Drugs. Lexicomp,201803261625,202004021621
OAMO5,¦¨¤H,eGFR,0,0,mL/min,mL/min,250 to 500 mg every 24 hours; administer after dialysis on dialysis day,¦å²G³zªR±wªÌ (Aronoff 2007),201803261626,202004021619
OAMO5,¦¨¤H,eGFR,0.01,10.00,mL/min,mL/min,GFR 10-30 mL/min: 250 to 500 mg every 12 hours,Lexi-Drugs. Lexicomp.,201803261626,202004021618
OAMO5,¦¨¤H,eGFR,10.00,30.00,mL/min,mL/min,GFR 10-30 mL/min: 250 to 500 mg every 12 hours,Lexi-Drugs. Lexicomp.,201803261625,202004021620
OAMOX,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,250 mg or 500 mg every 24 hours¡A depending on severity of infection; give additional dose both during and at the end of dialysis,¦å²G³zªR±wªÌ,202003200914,
OAMOX,¦¨¤H,eGFR,0.01,10.00,mL/min/1.73m2,mL/min/1.73m2,250-500mg every 24 hours,,202003200914,
OAMOX,¦¨¤H,eGFR,10.00,30.00,mL/min/1.73m2,mL/min/1.73m2,250-500mg every 12 hours,,202003200914,
OANS,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,,201804111625,201804111625
OAPA,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Hyperglycemia in patients with Cushing syndrome: Maximum dose: 600 mg once daily,,201806141726,
OAPR5,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¨ü·lªº¯f¤H¡A¾¯¶q»Ý­n´î§C,,201804121535,201804121536
OARC,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804141616,
OARH1,¦¨¤H,eGFR,0,59.99,mL/min/1.73m2,mL/min/1.73m2,Moderate to severe impairment: Use is contraindicated.,,201804231652,
OARIM,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,Renal impairment: No dosage adjustment necessary,Micromedex 20210504,202105040928,202105040931
OARIM,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇÅ¦·l¶Ë¯f±w(creatinine¹ø²M²v¤p©ó30)¸T§Ò¨Ï¥Î,¥é³æ,202105040930,202105040925
OASP,¦¨¤H,Clcr,0,9.90,mL/min,mL/min,The manufacturer recommends avoiding in patients with CrCl <10 mL/minute.,,201804191222,
OASV,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer's,,201804191049,
OAUG1,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,usual dose every 24 hours,,201803261630,
OAUG1,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,usual dose every 12 hours,,201803261629,
OAZI,¦¨¤H,Clcr,0,9.00,mL/min,mL/min,À³ÂÔ·V¥ÎÃÄ,,202001221143,
OAZI,¦¨¤H,Clcr,10.00,80.00,mL/min,mL/min,µL¶·½Õ¾ã¾¯¶q,,202001221144,
OBAC5,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Reduce dose by 2/3,,201804160522,201804160522
OBAC5,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Reduce dose by 1/2,,201804160522,201804160522
OBAC5,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,Reduce dose by 1/3,,201804160521,
OBAR,¦¨¤H,Clcr,10.00,0,mL/min,mL/min,Administer 10% of usual dose daily or administer the normal dose every 7 days; administer after hemodialysis,UpToDate,202004021451,202004021457
OBAR,¦¨¤H,Clcr,29.00,10.00,mL/min,mL/min,Administer 30% of usual dose daily or administer the normal dose every 72 hours,UpToDate,202004021451,202004021457
OBAR,¦¨¤H,Clcr,49.00,30.00,mL/min,mL/min,Administer 50% of usual dose daily or administer the normal dose every 48 hours,UpToDate,202004021452,202004021457
OBAR1,¦¨¤H,Clcr,10.00,0,mL/min,mL/min,Administer 10% of usual dose daily or administer the normal dose every 7 days; administer after hemodialysis,UpToDate,202004021455,202004021457
OBAR1,¦¨¤H,Clcr,29.00,10.00,mL/min,mL/min,Administer 30% of usual dose daily or administer the normal dose every 72 hours,UpToDate,202004021456,202004021457
OBAR1,¦¨¤H,Clcr,49.00,30.00,mL/min,mL/min,Administer 50% of usual dose daily or administer the normal dose every 48 hours,UpToDate,202004021456,202004021457
OBECA,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,0.05 mg ORALLY once daily (preferred) or 0.5 mg ORALLY once every 7 days; lamivudine-refractory or decompensated liver disease¡A 0.1 mg ORALLY once daily (preferred) or 1 mg ORALLY once every 7 days.,,,
OBECA,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:0.05 mg ORALLY once daily (preferred) or 0.5 mg ORALLY once every 7 days; lamivudine-refractory or decompensated liver disease¡A 0.1 mg ORALLY once daily (preferred) or 1 mg ORALLY once every 7 days; on hemodialysis days¡A administer after hemodialysis.,,,
OBECA,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,0.15 mg ORALLY once daily (preferred) or 0.5 mg ORALLY every 72 hours; lamivudine-refractory or decompensated liver disease¡A 0.3 mg ORALLY once daily (preferred) or 1 mg ORALLY once every 72 hours.,,,
OBECA,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,0.25 mg ORALLY once daily (preferred) or 0.5 mg ORALLY once every 48 hours; lamivudine-refractory or decompensated liver disease¡A 0.5 mg ORALLY once daily (preferred) or 1 mg ORALLY once every 48 hours.,,,
OBET2,¦¨¤H,eGFR,15.00,29.00,mL/min/1.73m2,mL/min/1.73m2,­««×µÇ¥\¯à¤£¥þ¯f±w¨C¤é¾¯¶q¤£¥i¶W¹L 25mg ¤@¤Ñ¤@¦¸,,201804212243,201804212243
OBET2,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¥½´ÁµÇ¯fªº±wªÌ¤£«ØÄ³¨Ï¥Î,,201804212245,201804212245
OBET2,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þ¯f±w¨C¤é¾¯¶q¤£¥i¶W¹L 25mg ¤@¤Ñ¤@¦¸,,201804212243,
OBET5,¦¨¤H,eGFR,0,15.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³Betmiga¨Ï¥Î©ó¥½´ÁµÇ¯fªº¯f¤H,¥é³æ,202109271457,202109271456
OBET5,¦¨¤H,eGFR,15.00,29.00,mL/min/1.73m2,mL/min/1.73m2,¨C¤é¾¯¶q¤£¥i¶W¹L25 mg¤@¤Ñ¤@¦¸¡C,¥é³æ,202109271456,202109271456
OBET5,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¤£«ØÄ³Betmiga¨Ï¥Î©ó¥½´ÁµÇ¯fªº¯f¤H,¥é³æ,202109271455,202109271456
OBET5,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,¨C¤é¾¯¶q¤£¥i¶W¹L25 mg¤@¤Ñ¤@¦¸¡C,¥é³æ,202109271455,
OBIN,¦¨¤H,Clcr,0,35.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804120000,201804120000
OBLO,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¹ï©ó­««×©Î¥½´ÁµÇ¥\¯à¤£¥þªÌ(¦Ù»ÄÓþ¹ø²M²v¡Õ15mL/min)¤§Á{§É¨Ï¥Î¸gÅç¦³­­¡C¹ï©ó³o¨Ç¯f±w¡A À³¸Ó®Ú¾ÚÆ[¹î¦åÀ£ªººÊ´ú¤p¤ß³v¦¸½Õ¾ã¾¯¶q¡C,¥é³æ,202011130831,202011130834
OBLO,¦¨¤H,Clcr,15.00,60.00,mL/min,mL/min,¹ï©óµÇ¥\¯à¤£¥þªÌ¡A¥]¬A¥¿¦b¶i¦æ¦å²G³zªRªº±wªÌ¡A°_©l¾¯¶q¬°4mg¡A¦A®Ú¾Ú±wªÌ¤ÏÀ³³v¦¸½Õ¾ã¾¯¶q¡C,¥é³æ,202011130835,202011130834
OBOK,¦¨¤H,Clcr,0,9.90,mL/min,mL/min,The manufacturer recommends avoiding in patients with CrCl <10 mL/minute.,,201804191223,
OBONE,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¨C¤Ñ800mg,,201804120002,201804120002
OBONE,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,¨C¤Ñ1200mg,,201804120002,
OBONE,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,¨C¤Ñ1600mg,,201804120001,
OBOW,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,µÇ¥\¯àÄY­«¤U­°±wªÌ¤£«ØÄ³¨Ï¥Î,,201804131641,201804131641
OBRO,¦¨¤H,Clcr,0,0,mL/min,mL/min,­««×µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,,201804191414,201804191414
OBUSR,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ¥BµL§¿±wªÌ«ØÄ³Reduce dose by 25% to 50%,ÄY­«µÇ¥\¯à¤£¥þªÌ¤£«ØÄ³¨Ï¥Î,201804150016,201804150017
OCAL5,¦¨¤H,Clcr,0,24.99,mL/min,mL/min,Dosage adjustments may be necessary depending on the serum calcium levels.,,201804231741,201804231741
OCAN,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,Contraindications: severe renal impairment(eGFR <30 mL/minute/1.73 m2); end-stage renal disease or patients on dialysis.,¥é³æ&Micromedex«ØÄ³,201907091101,201907290914
OCAN,¦¨¤H,eGFR,30.00,45.00,mL/min/1.73m2,mL/min/1.73m2,¤£«ØÄ³¨Ï¥Î,¥é³æ«ØÄ³,201907290913,201907091102
OCAND8,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¹ï©ó«D±`ÄY­«©ÎªÌ¬O¥½´ÁªºµÇÅ¦¥\¯à¤£¨}ªÌ ( ¦Ù»ÄÓþ¹ø²M²vClcreatinine<15 mL/min)¡AÁ{§É¨Ï¥Î¸gÅç¦³­­,¥é³æ,202011231047,202011130834
