ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
EMIR3,Brimonidine,Mirvaso 3mg/gm gel¡A 30gm,TDER,Symptomatic treatment of facial erythema of rosacea in adult patients.,Hypersensitivity. Patients receiving MAOIs (eg¡A selegeline or moclobemide) & tricyclic (eg¡A imipramine) or tetracyclic (eg¡A maprotiline¡A mianserin or mirtazapin) antidepressants. Do not use in childn or adolescents 2-18 yr or childn <2 yr.,Flushing¡A erythema¡A pruritus¡A skin burning sensation.,25¢J¥H¤U,Rosacea¡A Persistent (nontransient) facial erythema Apply once daily as long as facial erythema is present. Maximum daily recommended dose: 1 g gel¡A divided into 5 pea size amounts on forehead¡A cheeks¡A nose & 2- chin smooth evenly over entire face avoiding lips and eyes.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,No (limited) human data ¡V probably compatible,ÃÄ«~¥é³æ:­÷¨Å«ØÄ³:¤£À³©ó­÷¨Å´Á¶¡¨Ï¥Î¡C BRIMONIDINE OPHTHALMIC: Limited Human Data¡XProbably Compatible,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,ÃÄ«~¥é³æ:Ãh¥¥«ØÄ³: ¦]¸ê®Æ¦³­­¡A³Ì¦n¤£­n¦bÃh¥¥´Á¶¡¨Ï¥ÎMirvaso¡C BRIMONIDINE OPHTHALMIC: Limited Human Data¡XProbably Compatible,EXT;,,,,,
ICAG1,Calcium gluconate,Calcium gluconate inj 10%¡A 10mL (±M®×¶i¤f),NUTR,,¾AÀ³¯g:Ca deficiency. °Æ§@¥Î: Cardiovascular (with rapid I.V. injection): Arrhythmia¡A bradycardia¡A cardiac arrest¡A hypotension¡A syncope¡A vasodilation Central nervous system: Sense of oppression (with rapid I.V. injection) Endocrine & metabolic: Hypercalcemia Gastrointestinal: Chalky taste Neuromuscular & skeletal: Tingling sensation (with rapid I.V. injection) Miscellaneous: Heat waves (with rapid I.V. injection) ¸T§Ò¡GVentricular fibrillation; hypercalcemia; concomitant use of I.V. calcium gluconate and ceftriaxone in neonates (risk of precipitation of calcium-ceftriaxone),,«Ç·Å,Intravenous use or intramuscular use. (4.66mEq/10mL) 10 ml contain 940 mg calcium gluconate as active ingredient¡A equivalent to 2.10 mmol calcium. Adult: The usual initial dose in adults is 10 ml of Calcium Gluconate 10 % w/v Injection BP¡A corresponding to 2.25 mmol of calcium.If necessary¡A the dose may be repeated¡A depending on the patient¡¦s clinical condition. Subsequent doses should be adjusted according to the actual serum calcium level. Paediatric patients (< 18 years): Age: 3 months 0.4-0.9mL/kg; 6 months 0.3-0.7mL/kg; 1year 0.2-0.5mL/kg; 3 years 0.4-0.7mL/kg; 7.5 years 0.2-0.4mL/kg; 12 years 0.1-0.3mL/kg; >12 years as for adults,,,,¨S¦³¸ê®Æ,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,1.¥»«~¬°10 mL¥]¸Ë¡A¶È¨ÑTPN½Õ°t¨Ï¥Î¡C 2.Paediatric patients (< 18 years):The intravenous administration rate should not exceed 5 ml of a 1:10 dilution per minute of Calcium Gluconate 10% B. Braun in children and adolescents. 3.Intramuscular injections should not be performed in paediatric patients. 4.adults the intravenous administration rate should not exceed 2 ml (0¡A45 mmol of calcium) per minute.
OAZI,Azithromycin,Aziciin 250mg,QANB,Upper & lower respiratory tract infections; skin & soft tissue infections; otitis media; uncomplicated genital infections due to Chlamydia trachomatis & Neisseria gonorrheae.,Cholestatic jaundice with prior azithromycin therapy. Hepatic dysfunction with prior azithromycin therapy. Hypersensitivity to azithromycin or to any product component¡A erythromycin¡A or any macrolide or ketolide antibiotic.,Common: Injection site disorder (3.1-6.5%)¡A Abdominal pain (adult¡A 1.9-14%; pediatric¡A 2-4%)¡A Diarrhea (Adult¡A 4.3-12%; pediatric¡A 7-10%)¡A Flatulence (5%)¡A Nausea (Adult¡A 3-14%; pediatric¡A 4%)¡A Vomiting (Adult¡A up to 13%; pediatric¡A 11-14%)¡A Increased liver enzymes (<1-6%)¡A Headache (up to 5%)¡A Abnormal vision (5%) Serious: Prolonged QT interval¡A Torsades de pointes¡A Generalized exanthematous pustulosis¡A acute¡A Stevens-Johnson syndrome¡A Toxic epidermal necrolysis¡A Congenital hypertrophic pyloric stenosis¡A Hepatic necrosis¡A Hepatitis (<1%)¡A Liver failure¡A Drug reaction with eosinophilia and systemic symptoms¡A Hypersensitivity reaction¡A Eaton-Lambert syndrome¡A Myasthenia gravis¡A Exacerbation of¡A Myasthenic crisis¡A Corneal erosion (<1%),,Adults: Sexually transmitted diseases caused by Chlamydia trachomatis or susceptible Neisseria gonorrhoeae the dose is 1g as a single oral dose. Acute infective exacerbation of chronic obstructive pulmonary disease (Mild to Moderate): 500 mg ORALLY once daily for 3 days or 500 mg ORALLY on day 1 followed by 250 mg/day ORALLY on days 2 to day 5. Other infections: 500 mg daily for 3 days. Childn: A single daily dose of 10 mg/kg for 3 days.,µL»Ý½Õ¾ã¾¯¶q,¨Ö¦³»´(A¯Å)¦Ü¤¤«×(B¯Å)¨x¥\¯à·l®`ªº±wªÌ¡AµL¶·½Õ¾ã,»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
ISTO,Cimetidine,Stogamet inj 200mg/2mL,ALIM,Gastric ulcer. Ulcer of duodenum. Erosive esophagitis.,Hypersensitivity to cimetidine or any component of this product.,Common: Gynecomastia (up to 4%)¡A Serious: Gastric cancer¡A Necrotizing enterocolitis in fetus OR newborn¡A Pancreatitis¡A Psychotic disorder¡A Cardiac arrest¡A Seizure,25¢J¥H¤U,usual dose: IM: 300mg Q6-8H IV: 300mg in 100mL D5W for 15-20 min¡A Q6- 8H. maximum 2.4 g/day children: limitied data¡A usual dose 20-40mg/kg/day IV,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,[¥é³æ]¥»¾¯¨Ï¥Î©óÃh¥¥°ü¤k¤§¸gÅç¤´¦³­­¡CÁöµM¬ã¨sÅã¥ÜÃh¥¥¤¤§ë»P¥»¾¯«á¡A¤£·|¦³­P·î­Lªº¦MÀI¡A¦ý¦b¨ä¥L°Êª«©M¤HÃþªº¬ã¨s¤¤µo²{¥»¾¯¥i¥H³q¹L­L½L«Ì»Ù¡A¦]¦¹­Y«DÂå®v¬ã§P¹w´Áªº§Q¯q¤j©ó¥i¯àªº¦MÀI¡AÃh¥¥´Á¶¡³Ì¦nÁ×§K¨Ï¥Î¥»«~¡C,Compatible ­÷¨Å®É¥i¨Ï¥Î,[¥é³æ]Cimetidine ¥i¤Àªc©ó¨Å¥Ä¤¤¡D¯f¤HªAÃÄªº¶¥¬q¤£©y±Â¨Å¡C ¥¥°üÁ{²£¨ü­å¸¡²£³N®É¡A¶i¦æ¥þ¨­³Â¾K¡A¦P®É±Â»P®É¡A¥Ñ©ó¥»ÃÄ¥b°I´Á(2 ¤p®É)¸ûµu¡A¦b¯f¤H´_¤¸¦Ü¥i­÷¨Å®É¡A¥»«~¤Àªc©ó¨Å¥Ä¤¤§t¶q¤w©Ò¦sµL´X¡C,IM;IVD;IVPUSH;,,¡iD10W¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iD5W¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iL/R¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iN/S¡j¥i¿ï ¥é³æ«ØÄ³¡C,¥H¾A¦Xªº·»²G§â300mg¥»«~µ}ÄÀ¦¨20mL·»²G¡A¥Hªø©ó2¤ÀÄÁªº³t²v½wºCªºÀR¯ßª`®g¡A³oºØµ¹ÃÄ¤è¦¡À³Á×§K¨Ï¥Î¦b±w¦³¤ßÅ¦¦åºÞ¯e¯fªº±wªÌ¡C,¥»«~300mgµ}ÄÀ¦b100mL¾A¦XªºÀR¯ßª`®g·»²G¤¤¡AÀR¯ßÂIºw15-20¤ÀÄÁ¥H¤W¡AÂIºwªº¥­§¡³t²v¦b24¤p®É´Á¶¡¤£¶W¹L75mg/¤p®É¡C,Cimetidine ª`®g²G¥H0.9%´â¤Æ¶uª`®g²G¡A5%©Î10%¥k±ÛÁÞª`®g²G¡A¨Å»Ä¤ÆªL®æ¤ó²Gµ}ÄÀ«á©ó«Ç·Å¤U¥i«O¦s1­Ó¬P´Á¡C
LSCR,Sucralfate,Scrat 1gm/10mL/pack suspension,ALIM,Short-term (?8 weeks) management of duodenal ulcers; maintenance therapy for duodenal ulcers,Hypersensitivity to sucralfate or any component of the formulation,1% to 10%: Gastrointestinal: Constipation (2%) <1%¡A postmarketing¡A and/or case reports: Anaphylaxis¡A back pain¡A bezoar formation¡A bronchospasm¡A diarrhea¡A dizziness¡A drowsiness¡A dyspepsia¡A flatulence¡A headache; hypersensitivity (urticaria¡A angioedema¡A facial swelling¡A laryngospasm¡A respiratory difficulty¡A rhinitis); insomnia¡A nausea¡A pruritus¡A skin rash¡A stomach pain¡A vertigo¡A vomiting¡A xerostomia,«Ç·ÅÃÄ«~¡A¥é³æµL¯S§O«ü¥ÜÀx¦s·Å«×±ø¥ó,usual dose: 1 pack QID on empty stomach,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
IIMO,Japanese Encephalitis Vaccine,Imojev inj 0.5mL/dose (¦Û¶O¤é¥»¸£ª¢¬Ì­]),HIMM,Active immunisation against encephalitis due to Japanese encephalitis virus,Avoid use in the following unless absolutely necessary: patients with fever or severe malnutrition; CV¡A renal or hepatic diseases in acute¡A exacerbating or active phases; history of abnormal adverse reactions caused by this vaccine; history of spasmodic symptoms within 1 yr; pregnancy.,Local reactions eg redness¡A swelling¡A tenderness or systemic reactions eg fever¡A chill¡A headache¡A lassitude. Rarely¡A severe adverse reactions manifesting as generalized urticaria or angioedema may occur.,2-8¢JÁ×¥úÁ×§K§N­á,IM¡A 0.5mL¡A Age > or = 9 months - < 18 years: primary immunization.A booster dose after 12-24 months. Age > or = 18 years: a single dose.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling,µL»Ý½Õ¾ã¾¯¶q,¤£¥i¨Ï¥Î,Uknown ¨S¦³¸ê®Æ,[¥é³æ]°Êª«¸ÕÅç¨ÃµLª½±µ©Î¶¡±µÃÒ¾ÚÅã¥Ü¹ïÃh¥¥¡B­F­Lµo®i¡B¤À®Y¡B²£«á­L¨à¡Bªc¨Å¨ã¶Ë®`©Ê¡A ¸T¥Î©óÃa¥¥¤Î±Â¨Å°ü¤k¡C,Unknown ¨S¦³¸ê®Æ,[¥é³æ]°Êª«¸ÕÅç¨ÃµLª½±µ©Î¶¡±µÃÒ¾ÚÅã¥Ü¹ïÃh¥¥¡B­F­Lµo®i¡B¤À®Y¡B²£«á­L¨à¡Bªc¨Å¨ã¶Ë®`©Ê¡A ¸T¥Î©óÃa¥¥¤Î±Â¨Å°ü¤k¡C,SC;,¨Ï¥Î¼t°Ó©Òªþ¤§µ}ÄÀ²G,,,,IMOJEV should not be injected directly into veins.
IJEV0,Japanese Encephalitis Vaccine,Imojev (´î¬r¤é¸£¡A¬F©²´£¨Ñ) 0.5mL/dose,HIMM,Active immunisation against encephalitis due to Japanese encephalitis virus,Avoid use in the following unless absolutely necessary: patients with fever or severe malnutrition; CV¡A renal or hepatic diseases in acute¡A exacerbating or active phases; history of abnormal adverse reactions caused by this vaccine; history of spasmodic symptoms within 1 yr; pregnancy.,Local reactions eg redness¡A swelling¡A tenderness or systemic reactions eg fever¡A chill¡A headache¡A lassitude. Rarely¡A severe adverse reactions manifesting as generalized urticaria or angioedema may occur.,2-8¢JÁ×¥úÁ×§K§N­á,IM¡A 0.5mL¡A Age > or = 9 months - < 18 years: primary immunization.A booster dose after 12-24 months. Age > or = 18 years: a single dose.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling,µL»Ý½Õ¾ã¾¯¶q,¤£¥i¨Ï¥Î,Uknown ¨S¦³¸ê®Æ,[¥é³æ]°Êª«¸ÕÅç¨ÃµLª½±µ©Î¶¡±µÃÒ¾ÚÅã¥Ü¹ïÃh¥¥¡B­F­Lµo®i¡B¤À®Y¡B²£«á­L¨à¡Bªc¨Å¨ã¶Ë®`©Ê¡A ¸T¥Î©óÃa¥¥¤Î±Â¨Å°ü¤k¡C,Unknown ¨S¦³¸ê®Æ,[¥é³æ]°Êª«¸ÕÅç¨ÃµLª½±µ©Î¶¡±µÃÒ¾ÚÅã¥Ü¹ïÃh¥¥¡B­F­Lµo®i¡B¤À®Y¡B²£«á­L¨à¡Bªc¨Å¨ã¶Ë®`©Ê¡A ¸T¥Î©óÃa¥¥¤Î±Â¨Å°ü¤k¡C,SC;,¨Ï¥Î¼t°Ó©Òªþ¤§µ}ÄÀ²G,,,,IMOJEV should not be injected directly into veins.
IHBV,Hepatitis B Vaccine,Engerix-B 1mL/dose (¦Û¶OB¨x¬Ì­]),HIMM,Active immunisation against hepatitis B virus infection.,Severe allergic reaction after a previous dose of any hepatitis B-containing vaccine or to any vaccine component¡A including yeast.,Common: Injection site disorder¡A Diarrhea¡A Nausea¡A Asthenia (>1%)¡A Headache (1-10%)¡A Fatigue (14%)¡A Fever¡A Malaise Serious: Pancytopenia¡A Anaphylaxis,2-8¢JÁ×¥úÁ×§K§N­á,IM¡A > or = 20 years 20 mcg/1mL/dose¡A < or = 19 years 10 mcg/0.5 mL/dose¡A 3 doses at 0¡A 1¡A and 6 months or 4 doses at 0¡A 1¡A 2¡A and 12 months. > or = 20 years rapid immunization 3 doses at 0¡A 7¡A and 21 days with a booster at 12 months. Renal insufficiency > or = 16 years 4 double doses (20 mcg x 2) at 0¡A 1¡A 2¡A and 6 months. 11-15 years 2 doses (20 mcg) at 0 and 6 months.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible,[¥é³æ] ¥Ø«e¨ÃµL¨¬°÷ªº©ó¤HÃþÃh¥¥´Á¶¡¨Ï¥Î¤§¸ê®Æ¤Î°Êª«¥Í´Þ¬ã¨s¡CµM¦Ó¡A»P¨ä¥¦¥h¬¡©Ê¯f¬r¬Ì­]¤@¼Ë¡A§Ú­Ì¨Ã¤£§Æ±æ­L¨à¨ü¨ì¥ô¦ó¶Ë®`¡C ¦]¦¹¡A¥u¦³¦b©ú½T¥²­n¥B¨ä¼ç¦b®Ä¯q¶W¶V¹ï­L¨àªº¼ç¦b¦MÀI©Ê®É¡A¤~¥i¦bÃh¥¥´Á¶¡¨Ï¥ÎEngerix-B¡C,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,[¥é³æ] ¥Ø«e¨ÃµL¨¬°÷ªº©ó¤HÃþ±Â¨Å´Á¶¡¨Ï¥Î¤§¸ê®Æ¤Î°Êª«¥Í´Þ¬ã¨s¡C ©|¥¼½T»{¦³¥ô¦óªº¸T§Ò¡C,IM;,,,,,1. ¥H¦Ù¦×ª`®g©ó¦¨¤H©Î¨àµ£ªº¤âÁu¤T¨¤¦Ù³¡¦ì¡A©Î·s¥Í¨à¡BÀ¦¨à¡B¥®µ£ªº¤j»L«e¥~°¼¡C 2. ¦å¤pªO´î¤Ö¯g©Î¥X¦å©Ê¯e¯f±wªÌ¥i¥H¥Ö¤Uª`®g¤è¦¡§ë»P¡C
IHAV1,Inactivated Hepatitis A Virus Vaccine,HAVRIX 1440¡A 1mL/dose (¦¨¤HA¨x¬Ì­]),HIMM,Active immunisation against infections caused by hepatitis A virus.,Hypersensitivity.,Inj site soreness¡A mild redness & swelling¡A headache¡A malaise¡A vomiting¡A fever¡A nausea & loss of appetite.,2-8¢JÁ×¥úÁ×§K§N­á,IM¡A 0.5mL¡A > or = 19 years primary immunization. A booster dose after 6-12 months.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V probably compatible,[¥é³æ]¥Ø«e¨ÃµL¤HÃþÃh¥¥´Á¶¡¤Î±Â¨Å´Á¶¡¨Ï¥Î¤§¾A¦X¸ê®Æ¡Aµ´¹ï»Ý­n®É¤~µ¹¤©¡C,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,[¥é³æ]¥Ø«e¨ÃµL¤HÃþÃh¥¥´Á¶¡¤Î±Â¨Å´Á¶¡¨Ï¥Î¤§¾A¦X¸ê®Æ¡Aµ´¹ï»Ý­n®É¤~µ¹¤©¡C,IM;,,,,,1. ¦Ù¦×ª`®g©ó¦¨¤H©Î«Äµ£ªº¤T¨¤¦Ù³¡¦ì¡AÀ¦¨à«hÀ³ª`®g©ó¤j»L«e°¼³¡¦ì¡C
OJAR,Empagliflozin,Jardiance FC 10mg,META,,¾AÀ³¯g:Diabetes mellitus¡A type 2 °Æ§@¥Î:>10%: Endocrine & metabolic: Hypoglycemia (combination therapy with insulin: 28%¡A severe hypoglycemia: <=1%; combination therapy with metformin and a sulfonylurea: 12% to 16%; combination therapy with metformin: 1% to 2%) Genitourinary: Urinary tract infection (9%; females: 18%; males: 4%)¡A increased urine output (includes polyuria¡A pollakiuria¡A nocturia: 3%) 1% to 10%: Endocrine & metabolic: Increased LDL cholesterol (5% to 7%)¡A dyslipidemia (4%)¡A increased thirst (including polydipsia: 2%) Gastrointestinal: Nausea (2%) Hematologic & oncologic: Increased hematocrit (3% to 4%) Infection: Genitourinary fungal infection (4%; females: 5% to 6% [includes bacterial vaginosis¡A cervicitis¡A vulvitis¡A vulvovaginal candidiasis¡A vulvovaginal infection¡A vulvovaginitis]; males: 2% to 3% [includes balanitis¡A balanoposthitis¡A genitourinary fungal infection¡A penile infection¡A scrotal abscess]) ¸T§Ò:History of serious hypersensitivity to empagliflozin or any component of the formulation; severe renal impairment (eGFR <30 mL/minute/1.73 m2)¡A end-stage renal disease (ESRD)¡A or dialysis,,«Ç·Å,Diabetes mellitus¡A type 2: Oral: Initial: 10 mg once daily; may increase to 25 mg once daily,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,No (limited) human data ¡V animal data suggest low risk,,No (Limited) Human Data ¡V Potential Toxicity(Mother) µL(«Ü¤Ö)¸ê®Æ ¡V Á×§K¨Ï¥Î(¥ÀÅé),,AC;PC;PO;,,,,,
OCAP5,Capecitabine,Calveda 500mg,RACA,Colon cancer¡A Adjuvant therapy¡A Duke's Stage C¡A when treatment with a fluoropyrimidine alone is preferred. Metastatic breast cancer¡A metastatic colorectal cancer¡A 1-line therapy when treatment with a fluoropyrimidine alone is preferred.,Known hypersensitivity to capecitabine¡A fluorouracil¡A or any component of the formulation; severe renal impairment (CrCl <30 mL/minute). Canadian labeling: Additional contraindications (not in the US labeling): Known complete absence of dihydropyrimidine dehydrogenase (DPD) activity; concomitant administration with sorivudine or chemically related analogues (eg¡A brivudine).,GI disturbances; hand-foot syndrome¡A alopecia¡A pruritus¡A rash; fatigue¡A pyrexia¡A lethargy¡A asthenia; dizziness¡A taste disturbance; anorexia; conjunctivitis; neutropenia. Dermatologic: Dermatitis (27% to 37% ) Gastrointestinal: Abdominal pain¡A Constipation¡A Loss of appetite¡A Nausea¡A Stomatitis¡A Vomiting Other: Fatigue,25¢J¥H¤U,Adjuvant treatment is recommended for a total of 6 months (8 cycles) [Metastatic Colorectal Cancer¡A Adjuvant Colorectal Cancer¡A Dukes¡¦ C colon cancer (adjuvant treatment)] 1250 mg/m2 twice daily for 2 weeks followed by a 1-week rest period given as 3-week cycles for a total of 8 cycles (24 weeks) [Metastatic Breast Cancer] Monotherapy: 1250 mg/m2 twice daily for 2 weeks followed by a 1-week rest period given as 3-week cycles; Combination: 1250 mg/m2 twice daily for 2 weeks followed by a 1-week rest period¡A combined with docetaxel at 75 mg/m2 as a 1-hour intravenous infusion every 3 weeks.,»Ý½Õ¾ã¾¯¶q,µL¨¬°÷¦w¥þ©Ê»PÀø®Ä¬ÛÃö¸ê®Æ´£¨Ñ¡C ¥é³æ:­««×¨x¥\¯à¨ü·l¸T¥Î¡C,»Ý½Õ¾ã¾¯¶q,ºÉ¶qÁ×§K,No (limited) human data ¡V animal data suggest risk,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,PC;PO;,,,,,[¿i¯»/ºÞÄéµù°O]¥»ÃÄ¬°Àù¯g¥ÎÃÄ¡A¤£©y¯}Ãa­ì¾¯«¬¡C­Y¦³¿i¯»»Ý¨D½Ð¨Ï¥Î«e¦Û¦æ¿i¯»¡A¨Ãª`·N¬ÛÃö­·ÀI¡C
IBIC,Penicillin G Benzathine,Bicillin L-A inj 2.4 MIU/4mL,QANB,Susceptible infections¡A including mild to moderate upper respiratory strep infections¡A syphilis. Follow-up prophylaxis of rheumatic heart disease¡A acute glomerulonephritis.,Hypersensitivity to penicillins. Avoid intraarterial¡A intravascular¡A or intraneural injection.,Rash¡A serum sickness¡A anaphylaxis¡A blood dyscrasias¡A neuropathy¡A nephropathy¡A inj site reactions.,2-8¢JÁ×§K§N­á,(¥é³æ+Uptodate) Streptococcus¡A group A (pharyngitis): adults and children > 27 kg: 1.2 million units IM as a single dose; children < 27 kg 0.6 million units IM as a single dose. Syphilis: Primary¡A Secondary¡A Early Latent (<1-year duration): 2.4 million units as a single dose. Late Latent¡A Latent with unknown duration¡A Tertiary Syphilis (with normal CSF examination)¡A or Neurosyphilis: 2.4 million units IM once weekly for 3 doses. Yaws¡A bejel¡A and pinta: 1.2 million units IM as a single dose. Rheumatic fever¡A secondary prevention: 1.2 million units every 4 weeks¡A for patients with high risks¡A every 3 weeks. Prevention of glomerulonephritis: 1.2 million units once monthly if needed.,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,IM;,,,¤£¥i¨Ï¥ÎIV.,¤£¥i¨Ï¥ÎIV.,1.Bicillin L-A¶È­­²`¼h¦Ù¦×ª`®g¨Ï¥Î¡C 2.½Ð¤Åª`®g¦Ü°Ê¯ß©Î¯«¸g¤º©Î¨ä©P³ò¡A©Î¸g¥ÑÀR¯ß³~®|ª`®g¡A©Î»P¨ä¥LÀR¯ßª`®g²GºU²V¡C 3.½Ð¥H²`¼h¦Ù¦×ª`®g¤è¦¡¡Aª`®g¦ÜÁv³¡ªº¥~¤W°¼(­I°¼Áv¦Ù°Ï)©Î¸¡°¼Áv¦Ù°Ï¡C¦b·s¥Í¨à¡BÀ¦¨à¤Î¦~¥®¨àµ£¤¤¡A¥i¯à¥H¤j»Lªº¤¤¥~°¼¬°­º¿ï¡C
OSINM2,Carbidopa + Levodopa,25/250mg SINEMET,CNEU,,¾AÀ³¯g: Symptomatic treatment of Parkinsonism. °Æ§@¥Î: Dyskinesia including choreiform¡A dystonic & other involuntary movements. Mental changes including paranoid ideation & psychotic episodes; depression with or without development of suicidal tendencies; dementia; & GI disturbances. Gastrointestinal: Nausea (5.5% to 5.7% ) ¸T§Ò: Narrow-angle glaucoma. Undiagnosed skin lesions or history of melanoma. Hypersensitivity to any component of this product.,,«Ç·Å,1 tab tid. Max: 8 tab.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
