____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
IFOLI,Folinate,Folina __100mg/10mL,ZADT,Megaloblastic anemia due to folic acid deficiency_ Intoxication & side-effects of folic acid antagonists_ associated with high-dose methotrexate.,Hypersensitivity. Pernicious or other anaemia due to vit B12 deficiency.,Dermatologic: Rash_ pruritus_ erythema_ urticaria Hematologic: Thrombocytosis Respiratory: Wheezing Miscellaneous: Allergic reactions_ anaphylactoid reactions,2-8_______,Methotrexate-rescue (high-dose): 15 mg (~10 mg/m2) IV; start 24 hours after beginning methotrexate (12-15 mg/m2) infused > 4 hours; continue every 6 hours for 10 doses_ until methotrexate level is <0.05 micromolar. Monitor levels of serum creatinine and methotrexate once daily. Methotrexate overdose (inadvertent) (begin as soon as possible after overdose): Oral_ IM_ IV: 10 mg/m2 Q6H until the methotrexate level is <0.01 micromolar. If serum creatinine is increased >50% above baseline 24 hours after methotrexate administration_ if 24 hours methotrexate level is >5 micromolar_ or if 48 hours methotrexate level is >0.9 micromolar_ increase leucovorin dose to 100 mg/m2 IV Q3H until the methotrexate level is <0.01 micromolar. Megaloblastic anemia_ folate-deficient: 1 mg IM/IV QD. Colorectal cancer_ advanced: 200 mg/m2/day for 5 days every 4 weeks in combination with fluorouracil.,______,,_____,____,Uknown ____,[__] __ Leucovorin ________Leucovorin __________________________________________________ ____________________ Leucovorin ___ _______________________________,Unknown ____,[__] ______________________________________ Leucovorin ________,IM;IVD;IVP;IVPUSH;,,_D5W___ __N/S___ _,< 160mg/min,IV infusion over 15 minutes to 2 hours.,1. Due to calcium content_ do not administer IV solutions at a rate >160 mg/minute. 2. Should be administered IM_ IV push_ or IV infusion (15 minutes to 2 hours). 3. Droperidol___________Y-site___________
IMARS,Bupivacaine,Marcaine Spinal 0.5% Heavy inj 4mL,ZANE,Local anesthesia.,Hypersensitivity to amide local anesthetics or any excipients. General contraindications related to neuraxial anesthesia should be considered: Acute active diseases of the central nervous system_ such as meningitis_ tumors_ poliomyelitis and intracranial hemorrhage. Spinal stenosis is associated with active disease of the spine (eg_ spondylitis_ tumors) or recent trauma (eg_ fracture). Sepsis. Pernicious anemia accompanies subacute mixed degeneration of the spinal cord. Febrile infection at the puncture site or adjacent skin. Psychogenic or hypovolemic shock. Coagulopathy or ongoing anticoagulant therapy.,Hypotension_ bradycardia_ post-spinal headache. Rarely_ high or total spinal blockade resulting in CV & respiratory depression_ neurological complications.,2-25_____,Marcaine Spinal 0.5% Heavy contains bupivacaine 5mg/mL_ 4mL/ampoule (with glucose monohydrate to adjust a specific gravity of 1.026 at 20°C). Intrapinal injection. Spinal injections should only be made after the subarachnoid space has been clearly identified by lumbar puncture. No drug should be injected until clear cerebrospinal fluid (CSF) is seen to escape from the spinal needle or it is detected by aspiration. The dose required for the most effective blocking: For lower limbs_ urinary tract and perineum surgery (patient in the sitting position): 7.5-15 mg inject into L3/4/5. For lower abdomen surgery (patient in the supine horizontal position): 15-20 mg and inject into L2/3/4.,______,_________________________,______,_______,Uknown ____,Bupivacaine [18],Unknown ____,Bupivacaine [8],IT;,,,,,_____________
ODOF,Mephenoxalone,Doflex 200mg,CNEU,Muscle spasms.,Porphyria; pregnancy and lactation,Drowsiness; GI disturbances_ paraesthesia_ weakness; headache_ dizziness_ ataxia_ paradoxical excitement; visual disturbances; arrhythmias_ hypotension; hypersensitivity reactions; blood dyscrasias.,__________________,Adult: 200-400 mg TID. Maximum: 2000mg daily.Children 6-15 years: 100mg TID.,______,,______,____,Uknown ____,,Unknown ____,,AC;AC15;PC;PO;WM;,,,,,
ECLOB,Clobetasol propionate,Clobex Shampoo 60mL_ 0.05%,TDER,Treatment of moderate to severe forms of scalp psoriasis in patient _18 yr.,Hypersensitivity to clobetasol or any ingredient in the preparation (gel_ cream_ ointment),Burning/stinging_ pruritus_ edema_ folliculitis_ acne_ dry skin_ irritant dermatitis_ alopecia_ urticaria_ skin atrophy & telangiectasia.,30_____,Scalp psoriasis (Moderate to Severe) (Shampoo) Apply topically onto dry scalp once daily in a thin film to affected areas only; leave in place 15 minutes before lathering and rinsing; maximum 50 mL/week for 2 consecutive weeks,______,,______,_______,No (limited) human data – animal data suggest risk,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,EXT;SKIN;TOPI;,,,,,
IKAD1,Trastuzumab Emtansine,Kadcyla inj 100mg,RACA,Breast Cancer Metastatic Breast Cancer Monotherapy for the treatment of HER2-positive metastatic breast cancer in patients who have previously received trastuzumab and a taxane_ either separately or in combination. Eligible patients must meet one of the following criteria: - Have received prior therapy for metastatic disease_ or - Experienced cancer recurrence during neoadjuvant/adjuvant therapy or within 6 months after completing treatment. Early Breast Cancer Monotherapy for the adjuvant treatment of HER2-positive early breast cancer in patients with residual invasive disease after receiving neoadjuvant therapy based on taxane and trastuzumab.,Specific contraindications have not been determined.,Common: Constipation (17-27%)_ Nausea (40-42%)_ Hemorrhage_ All Grades (29-32%)_ Thrombocytopenia_ All Grades (29-31%)_ Increased liver enzymes_ All Grades (29-32%)_ Musculoskeletal pain (30-36%)_ Headache (28%)_ Fatigue (36%) Serious: Heart failure_ Left ventricular cardiac dysfunction (1.8-3%)_ Injection site extravasation_ Anemia_ Grade 3 or 4 (1.1-4.1%)_ Hemorrhage_ Grade 3 or 4 (0.4-1.8%)_ Thrombocytopenia_ Grade 3 or 4 (6-15%)_ Hepatotoxicity_ Increased liver enzymes_ Grade 3 or 4 (1.5-8%)_ Injury of liver_ Liver regeneration (0.3-0.4%)_ Non-allergic anaphylaxis_ Dyspnea (8-12%)_ Interstitial lung disease_ Pneumonitis (1.1-1.2%),2-8_,3.6 mg/kg given as an intravenous infusion every 3 weeks (21-day cycle) until disease progression or unacceptable toxicity.Do not administer KADCYLA at doses greater than 3.6 mg/kg. KADCYLA dose should not be re-escalated after a dose reduction is made. Do not substitute KADCYLA for or with trastuzumab. First infusion: Administer infusion over 90 minutes. Patients should be observed during the infusion and for at least 90 minutes following the initial dose for fever_ chills_ or other infusion related reactions. Subsequent infusions: Administer over 30 minutes if prior infusions were well tolerated. Patients should be observed during the infusion and for at least 30 minutes after infusion.,______,Mild to moderate impairment (Child-Pugh class A or B): No dosage adjustment necessary; use with caution. Severe impairment (Child-Pugh class C): There are no dosage adjustments provided in the manufacturer's labeling (has not been studied).,______,____,No (limited) human data – animal data suggest moderate risk,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,Lactation studies with trastuzumab emtansine have not been conducted. Small amounts of trastuzumab were excreted in the milk of lactating monkeys following postpartum administration of trastuzumab in doses up to 25 mg/kg (approximately 7 times the recommended human dose). It is unknown whether ado-trastuzumab emtansine is excreted into human milk. Because many drugs are excreted in human milk and risk to the nursing infant cannot be excluded_ a decision should be made to discontinue treatment or discontinue nursing taking into account the importance of the drug to the mother.,IVD;,,,,,1. ___________ 2. _________90______________________30 ______0.2-0.22_____________ polyethersulfone (PES)____ 3. ______________2-8_____24___ 4. ____________________________________ 5. __CBC______
OFER,Ferrous Gluconate + Vit B1 + Vit C,Ferrous gluco-B 300/10/30,NUTR,Dietary and secondary iron deficiency anemia_ anemia during pregnancy_ prenatal and postnatal anemia_ pediatric anemia_ menopausal anemia_ and other forms of iron deficiency anemia.,Hypersensitivity to any component of the formulation.,Nausea & GI irritation_ tachycardia(5%),__________________,1 TAB contains_Ferrous gluconte 300mg_ Vitamin B1 10mg_ Vitamin C 30mg. PO dose: 1 TAB TID.,______,,______,____,Uknown ____,,Unknown ____,,PC;PO;,,,,,
OCOF1,Warfarin,Cofarin 1mg,HEMT,Treatment & prophylaxis of thromboembolic disorders.,- Pregnant women or women who may become pregnant. - Patients with bleeding tendencies or hemorrhagic diathesis. - Patients who have recently undergone or are about to undergo surgery involving: 1. The central nervous system 2. The eyes 3. Trauma surgery requiring extensive skin incision - Patients with active ulcers or a significant bleeding tendency_ including: 1. Gastrointestinal_ genitourinary_ or respiratory tract bleeding 2. Cerebrovascular hemorrhage 3. Cerebral aneurysm_ aortic dissection 4. Pericarditis and pericardial effusion 5. Bacterial endocarditis - Patients with imminent miscarriage_ eclampsia_ or preeclampsia. - Patients unable to be adequately monitored_ including the elderly_ individuals with alcoholism_ psychiatric disorders_ or those who are otherwise noncompliant. - Patients undergoing spinal puncture or other diagnostic or therapeutic procedures that may lead to uncontrolled bleeding. - Other contraindications include: spinal or epidural anesthesia_ malignant hypertension_ and known hypersensitivity to warfarin or any component of this product.,Alopecia_ skin rashes of various kinds_ hemorrhagic skin necrosis. Cardiovascular: Cholesterol embolus syndrome Dermatologic: Tissue necrosis Hematologic: Hemorrhage Immunologic: Hypersensitivity reaction (infrequent ) Ophthalmic: Intraocular hemorrhage (5% to 11% ),__________________,Initial dose as 2-5mg once daily_ depends on patient's PT/INR. Maintenance dose would be 2-10mg_ adjusted by patient's PT/INR. Duration of the treatment should be kept until the risks have been excluded.,_____,There are no dosage adjustments provided in the manufacturer's labeling. However_ the response to oral anticoagulants may be markedly enhanced in obstructive jaundice_ hepatitis_ and cirrhosis. INR should be closely monitored.,______,____,Contraindicated – 1st trimester,,Compatible ______,WHO:Compatible with breast-feeding.,AC;AC15;PC;PO;WM;,,,,,[__/____]___feeding nutrition_________________nutrition__1________INR__
IBFL,Amino Acid + Dextrose + Electrolytes + Vitamin B1,Bfluid inj 1000mL,NUTR,Provision of electrolytes_ glucose & amino acids in inadequate oral intake before & after surgery.,Hepatic coma or risk of hepatic coma; severe renal disorder or azotemia; CHF; severe acidosis; abnormal electrolyte metabolism_ hyperpotassemia_ hyperphosphatemia_ hypermagnesemia_ hypercalcemia; reduced urine output; abnormal amino acid metabolism,Rash_ chest discomfort_ palpitation_ cerebral_ pulmonary & peripheral edema_ hyperpotassemia_ acidosis_ water intoxication_ vascular pain_ phlebitis_ chills_ fever_ feeling of warmth_ headache.,25_____,Adult Usual dose: 500 mL infused via peripheral vein. Maximum dose: 2500 mL/day. Infusion rate: 500 mL/120 min_ slowed in elderly & critically ill patients. The dosage should be adjusted according to the patient’s condition_ body weight_ and age.,_____,___________ _______________,_____,____,Uknown ____,,Unknown ____,,IVD;,,,,IVD: 150mL/60min_________ 2500mL,1. ________ 2500mL 2. __________________________________ 3._________60_____150mL(____)________________ 4.________K_ ____:____20mEq; ________60mEq_ 5._____________
ODOR4,Dexamethasone,Dorison 4mg,HM,Adrenal cortical atrophy_ acute rheumatic arthritis_ bronchial asthma_ collagen diseases_ acute allergic conditions_ dermatological diseases.,Systemic fungal infection_ hypersensitivity. Administration of live virus vaccine_ unstable or infected joint_ diagnosed sepsis.,Common: Hypertension (Diabetic macular edema_ 13%)_ Cushing's syndrome_ Decreased body growth_ Abnormal vision (1-9%)_ Cataract (Diabetic macular edema_ 68%; retinal vein occlusion and uveitis_ 5-54%)_ Conjunctival edema (5%)_ Conjunctivitis (6%)_ Corneal edema (Postoperative ocular inflammation and pain_ 1% ; postoperative inflammation_ 5-15%)_ Discomfort_ Eye (10%)_ Disorder of anterior chamber of eye_ Inflammation (10%)_ Dry eye syndrome (5%)_ Iridocyclitis_ Iritis (5-15%)_ Raised intraocular pressure (Retinal vein occlusion and uveitis_ 24-25% ; postoperative inflammation and pain_ 5-15% ; ocular itching_ 3% i)_ Vitreous floaters (1-5%)_ Depression_ Euphoria_ Pulmonary tuberculosis Serious: Cardiomyopathy_ Rupture of ventricle due to acute myocardial infarction_ Hyperglycemia_ Hypokalemia_ Pancreatitis_ Infectious disease_ Osteoporosis_ Conjunctival hemorrhage (Diabetic macular edema_ 23%; retinal vein occlusion and uveitis_ 22%)_ Glaucoma (Diabetic macular edema_ 1.2%)_ Keratitis (2%)_ Posterior subcapsular cataract_ Retinal tear (2%)_ Retinal vascular disorder (3%)_ Uveitis (2%),__15-30__________,Adult: Usually 4-20 mg/day given QD or in 2-4 divided doses; High dose: 0.4-0.8 mg/kg/day (usually <= 40 mg/day). Pediatric: 0.02-0.6 mg/kg/day given QD or in 2-4 divided doses; MAX 16 mg/day. Cerebral edema: Loading dose: 1-2 mg/kg/dose as a single dose; maintenance: 1-2 mg/kg/day in divided doses Q4-6H; MAX 16 mg/day. Chemotherapy-induced nausea and vomiting_ prevention: (Reduce dose by 50% if administered concomitantly with aprepitant) Highly/severely emetogenic chemotherapy: 6 mg/m2/dose Q6H. Moderately emetogenic chemotherapy: BSA <= 0.6 m2: 2mg Q12H; BSA > 0.6 m2: 4mg Q12H. COVID-19 treatment: 0.15-0.3 mg/kg/dose QD for up to 10 days; MAX 6 mg/dose.,______,,_____,____,Compatible – maternal benefit >> embryo-fetal risk,[__] _______,No (Limited) Human Data - Probably Compatible _(__)__ - ___,[__] _______,AC;AC15;PC;PO;WM;,,,,,1.__________________________ 2._________________________ 3.___________________________
OVEP,Etoposide,Vepesid 50mg,RACA,,___:Small cell carcinoma of lung_ In combination with other approved chemotherapeutic agents as first line_ Testicular cancer_ In combination with other approved chemotherapeutic agents in patients with refractory testicular tumors who have already received appropriate surgical_ chemotherapeutic_ and radiotherapeutic therapy ___:Alopecia_ Shivering_ Diarrhea_ Inflammatory disease of mucous membrane_ Loss of appetite_ Nausea_ Vomiting_ Asthenia_ Fever_ Malaise __:Hypersensitivity to etoposide or any component of the formulation. Severe leukopenia or thrombocytopenia; severe hepatic impairment; severe renal impairment,,__,Non-Hodgkin lymphoma (in combination with other agents)_ nonsmall cell lung cancer (alone or in combination)_ small cell lung cancer (first-line in combination; second-line alone or in combination)_ testicular cancer (in combination; oral therapy for refractory disease): Oral: 100-200 mg/m2/day for 5 days; administer daily doses >200 mg in 2 divided doses.,_____,UpToDate Floyd 2006: Bilirubin 1.5 to 3 mg/dL or AST >3 times ULN: Administer 50% of dose King 2001; Koren_ 1992: Bilirubin 1.5 to 3 mg/dL or AST >180 units/L: Administer 50% of dose Bilirubin 1.5 to 3 mg/dL or AST >3 times ULN: Administer 50% of dose,_____,____,,,No (Limited) Human Data – Potential Toxicity(Mother) _(__)__ – ____(__),,,,,,,
IDRO,Droperidol,Dropel inj 2.5mg/1mL,CNEU,Management of nausea & vomiting following surgical or diagnostic procedures.,Pre-existing CNS depression or coma_ parkinsonism; known or suspected QT prolongation_ including congenital long QT syndrome. Hypokalemia or hypomagnesiemia. Bradycardia.,Common: Hypotension_ Tachycardia_ Somnolence_ Postoperative_ Anxiety_ Dysphoric mood_ Hyperactive behavior_ Restlessness Serious: Cardiac arrest_ Prolonged QT interval_ Torsades de pointes_ Ventricular tachycardia_ Anaphylaxis_ Neuroleptic malignant syndrome (very rare),30_______,Nausea and vomiting_ Associated with surgical or diagnostic procedures; Prophylaxis: Adult: 2.5 mg IM/IV_ followed by additional doses of 1.25 mg if potential benefit outweighs potential risk. Children 2-12 years old: maximum initial dose: 0.1 mg/kg IM/IV_ additional doses should be administered with caution and if pot.ential benefit outweighs potential risk. Psychosis: 2.5-15 mg IV. Maximum single dose: 10 mg IV. Second dose may be given at 4-6 hr interval IM/IV.,______,,______,_______,Compatible,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,IM;IVD;IVP;IVPUSH;,,,IV push administration should be slow.,,_____________2.5mg;__(2-12_)______0.1mg/kg
IKCL7,Potassium Chloride,KCl 20mEq in D5NS inj 500mL(__),NUTR,,___: Hypokalaemia. ___: Hyperkalemia_ pain or phlebitis at injection site. __: Hyperkalemia.,,2-8_C,IV Adult Serum K <2 mEq/L: 20-40 mEq/hr_ with ECG monitoring. Max: 400 mEq/day. Serum K >2.5 mEq/L: 10-15 mEq/hr; max: 200 mEq/day. Intermittent IV Children 0.5-1 mEq/kg/dose; infuse at 0.3-0.5 mEq/kg/hr; MAX: 1 mEq/kg/hr & 30 mEq/dose; MAX: 3 mEq/kg/day or 40 mEq/m2/day.,,,,_______,,,Compatible ______,,,,,,,1.____________________ 2._ACE______________ 3.______________________________ 4.____________________________
OLYR,Pregabalin,Lyrica 75mg,CNEU,Diabetic peripheral neuropathy - neuropathic pain_ fibromyalgia_ neuropathic pain - spinal cord injury_ partial seizure – adjunct_ postherpetic neuralgia.,Hypersensitivity to pregabalin or any other component of the product.,(Common) Cardiovascular: Peripheral edema (5% to 12% ) Endocrine metabolic: Increased appetite (5% )_ Weight gain (3.3% to 12% ) Gastrointestinal: Constipation (4% to 8.2% )_ Xerostomia (2.3% to 11% ) Neurologic: Asthenia (5% to 10% )_ Ataxia (3% to 15% )_ Dizziness (9.1% to 42.7% )_ Headache (5.6% to 9.3% )_ Incoordination (2% to 10.1% )_ Somnolence (10.2% to 35.7% )_ Tremor (1% to 11.2% ) Ophthalmic: Blurred vision (3.4% to 10.1% )_ Diplopia (2% to 9% ) Psychiatric: Disturbance in thinking (2% to 8% )_ Euphoria (2% to 6% ) Respiratory: Nasopharyngitis (8.2% ) Other: Fatigue (7% to 11% ) (Serious) Hepatic: Jaundice Immunologic: Hypersensitivity reaction Musculoskeletal: Increased creatine kinase level (1.5% to 2.7% ) Psychiatric: Suicidal thoughts Other: Angioedema,25___,Diabetic peripheral neuropathy - neuropathic pain: initial_ 75 mg two times a day (150 mg/day) and may be increased to 150 mg two times a day (maximum 300 mg/day). Fibromyalgia: initial_ 75 mg twice a day (150 mg/day)_ may increase to 150 mg twice a day (300 mg/day) within 1 week and to 225 mg twice a day (maximum 450 mg/day). Neuropathic pain - spinal cord injury: initial_ 75 mg two times a day; may increase to 150 mg two times a day within 1 week; may further increase to 300 mg two times a day for insufficient pain relief after 2 to 3 weeks of treatment. Partial seizure - adjunct: initial_ no greater than 75 mg two times a day or 50 mg three times a day (150 mg/day) and increased to a maximum dose of 600 mg/day in divided doses (either two or three times a day) based on response and tolerability. Postherpetic neuralgia: initial_ 75 mg two times a day or 50 mg three times a day; maintenance_ 75 to 150 mg two times a day or 50 to 100 mg three times a day (150 to 300 mg/day)_ in patients who do not experience sufficient pain relief following 2 to 4 weeks of treatment with 300 mg/day and are tolerating pregabalin_ may increase dosage up to 300 mg two times a day_ or 200 mg three times a day (600 mg/day). Safety and efficacy have not been established in pediatric patients.,______,,_____,_______,No (limited) human data – animal data suggest moderate risk,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,Micromedex Lactation Rating: Infant risk cannot be ruled out. Available evidence and/or expert consensus is inconclusive or is inadequate for determining infant risk when used during breastfeeding. Weigh the potential benefits of drug treatment against potential risks before prescribing this drug during breastfeeding.,AC;AC15;PC;PO;WM;,,,,,
EONB,Indacaterol,Onbrez Breezhaler 150mcg,ERSP,,___: Manitenance treatment of airflow obstruction in patients wih chronic obstructive pulmonary disease. ___: (Common) Headache (5.1%)_ cough (6.5% to 24% )_ nasopharyngitis (5.3% ) (Serious) Hypersensitivity reaction_ paradoxical bronchospasm (Overdose) palpitation_ headace_ fatigue_ hypokalemia_ hyperglycemia __: Hypersensitivity to indacaterol or any of other components of Onbrez Breezhaler,,__,Adults: inhalation of the content of one 150 mcg capsule once a day_ using the Onbrez Breezhaler inhaler. Safety and effectiveness not established in pediatric patients. (< 18 years),______,,______,_______,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,Micromedex Lactation Rating: Infant risk cannot be ruled out. It is not known if indacaterol is excreted into breast milk. The manufacturer recommends that caution be exercised when administering indacaterol to nursing women. The use of beta2-receptor agonists are not considered a contraindication to breast-feeding,IH;,,,,,1. __Onbrez Breezhaler ____: __Onbrez Breezhaler ___ / ________Onbrez Breezhaler ________ 2. ____Onbrez Breezhaler __: Onbrez Breezhaler ______________Onbrez Breezhaler __________ 3. ________Onbrez Breezhaler ____ 4. Onbrez Breezhaler _______________________Onbrez Breezhaler ____
IFUR1,Cefuroxime,FuroXime inj 1.5gm,QANB,Infections due to Staphylococci_ Streptococci_ Pneumococci_ Meningococci & other susceptible bacteria.,Hypersensitivity to cephalosporins.,Allergic reactions_ GI intolerance_ superinfection_ eosinophilia. Rarely_ transient hematological abnormalities; pseudomembranous colitis_ phlebitis.,____,Adults: 0.75-1.5 g IV/IM Q6-12H (dose ranges from 1.5-6 g/day); surgical prophylaxis: 1.5 g at induction of anesthesia and 1.5 g IM 6-8 hours after; gonorrhea: a single IM dose of 1.5 g (administer two doses of 750 mg at seperate area). Children: 30-100 mg/kg/day divided Q6-8H. Newborn: 30-100 mg/kg/day divided Q8-12H.,______,,_____,____,Compatible,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,AAP: Maternal medication usually compatible with breastfeeding. Micromedex: Infant risk is minimal. Cefuroxime is excreted in breast milk. Manufacturer recommendations vary; caution is recommended if cefuroxime I.V. is given to a nursing woman and it is recommended to consider discontinuing nursing temporarily during treatment following oral cefuroxime. Nondose-related effects could include modification of bowel flora.,IM;IV;IVD;IVP;IVPUSH;,IV:15 mL D/W,_D10W___ ______D5NS___ ______D5W___ ______L/R___ ______N/S___ _____,______3 ~ 5__,____1~30mg/mL_ ____ > 15~ 60__,1. _____CBC_____PT__ 2.IM__:__3mL_____750mg Cefuroxime_1.5gm___2_750mg_______________ 3.____25°C_____5________48___
IHYA,Sodium Hyaluronate,Hyalubrix Intra-articular inj,CNEU,Treatment of pain in osteoarthritis in knee in patients who have failed simple analgesics (e.g. acetaminophen) & nonpharmacologic treatment.,1. Hypersensitivity to the product components. 2. Infections or skin diseases at injection site.,Transient swelling_ pain_ heat & redness may occur sporadically at the injection site.,25___,Inject in the affected joint at weekly intervals for 3 weeks.,______,,______,____,Uknown ____,,Unknown ____,[8] unknow- by book,INS;IS;,,,,,
OCER4,Pentoxifylline,Ceretal S.C. 400mg,CAVS,Peripheral circulatory disorders_ chronic occlusive arterial disease.,Cerebral hemorrhage_ recent. Hypersensitivity to pentoxifylline or methylxanthines. Retinal hemorrhage_ recent. Should not be taken by individuals with retinal hemorrhage_ acute myocardial infarction_ or pregnant women.,Cardiac arrhythmias_ headache_ nausea_ GI effects_ dizziness_ flushing.,___________,1 TAB TID with meal.,______,,_____,_______,No (limited) human data – animal data suggest moderate risk,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,Pentoxifylline is excreted into human milk. Five healthy women who had been breastfeeding for at least 6 weeks were given a single 400-mg sustained-release tablet of pentoxifylline after a 4-hour fast. The mean milk:plasma ratio of unmetabolized pentoxifylline at 4 hours was 0.87. Mean milk:plasma ratios for the three major metabolites at 4 hours were 0.76_ 0.54_ and 1.13. Mean milk concentration of pentoxifylline at 2 hours (73.9 ng/mL) was approximately twice as much as that occurring at 4 hours (35.7 ng/mL) (3). Pentoxifylline and its metabolites are stable in breast milk for 3 weeks when stored at ?15°C. The effects of this exposure on a nursing infant are unknown.,PO;WM;,,,,,[__/____]________________________
OTOP5,Topiramate,Topamax film-coated 50mg,CNEU,,___: Adjunctive therapy in adults & children >= 2 years with partial seizures_ seizures associated with the Lennox-Gastaut Syndrome_ as well as with tonic-clonic seizures. Monotherapy in patients with partial onset seizure. Migraine prophylaxis. ___: Ataxia_ impaired conc_ confusion_ dizziness_ fatigue_ paresthesia_ somnolence_ abnormal thinking. Less commonly_ agitation_ amnesia_ anorexia_ aphasia_ depression_ diplopia_ emotional lability_ nausea_ nystagmus_ speech disorder_ taste perversion_ abnormal vision & weight decrease. Nephrolithiasis (rare). Gastrointestinal: Diarrhea (5% to 11% )_ Loss of appetite (4% to 24% )_ Nausea (6% to 14% )_ Taste sense altered (3% to 15% )_ Weight decreased (6% to 21% ) Neurologic: Confusion (3% to 14% )_ Disorder of language (6% to 10% )_ Dizziness (8% to 32% )_ Feeling nervous (7% to 14% )_ Headache_ Impaired psychomotor performance (3% to 21% )_ Memory impairment (5% to 14% )_ Paresthesia (2% to 51% )_ Reduced concentration span (4% to 14% )_ Somnolence (9% to 29% )_ Speech and language disorder Ophthalmic: Abnormal vision (2% to 13% )_ Diplopia (1% to 10% )_ Nystagmus (10% to 11% ) Other: Fatigue (14% to 30% ) __: Pregnancy.,,__,Adjunctive therapy Adult 200-600 mg/day in 2 doses. Children >= 2 years 6-9 mg/kg/day in 2 doses. Max: 1000mg/day. Monotherapy Adult Initial target dose 100mg/day in 2 doses. Children >= 2 years 3-6 mg/kg/day in 2 doses.,______,,_____,____,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,Micromedex: Infant risk cannot be ruled out.,,,,,,May be taken with or without food: Swallow whole_ do not chew/crush.
