藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
ITEST,Testosterone,Testosterone inj 250mg/1mL,HM,,適應症:男性更年期障礙 女性停經後癌症之治療(A000138209)(A003006209),,RT,IM inj. only， Female: 250mg IM every 2 wks; cystic mastopathy: 100mg between the 15th and 18th days of the cycle. Male: 250mg IM every 2-3 wks; maintenance， 250mg IM every 3-6wks. Climacteric: 50-100mg q2-3 wks， repeated cures of 4-8 wks's at 4 wk's intervals are recommended.,,,,不可使用,,,,,,,,,,
EFLAR,Fluorometholone,Flarex 0.1%， 5mL,TOPH,,適應症: Treatment of steroid-responsive inflammation of the palpebral & bulbar conjunctiva， cornea & anterior segment of the eye. 副作用: Glaucoma with optic nerve damage， visual acuity & field defects， cataract formation， secondary ocular infection following suppression of host response & perforation of the globe may occur. 禁忌: Acute superficial herpes simplex keratitis， varicella & most viral diseases of the cornea & conjunctiva; TB; fungal diseases; acute purulent infections.,,室溫,Initially 2 drops 2 hrly for 1st 1-2 days， then 1-2 drops qid.,,,,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
EFUC,Fusidic Acid,Fucidin cream 2%， 5gm,TDER,,適應症: Skin infections caused by Staph， Strep & other organisms sensitive to fusidic acid. 副作用: Hypersensitivity (rare).,,室溫,Apply bid-tid.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,EXT;,,,,,
EGIN,Carbomer,Ginpol eye gel 10gm,TOPH,,適應症: Substitute for lacrimal fluid in deficiency of tear production or dry eye. 副作用: Transient blurring in vision. 禁忌: Hypersensitivity to cetrimide.,,室溫,Instill 1 drop into conjunctival sac 3-5 times daily or more frequently during the day & before retiring at night.,無需調整劑量,,無需調整劑量,沒有資料,,,Contraindicated 哺乳期使用禁忌,,OD;OL;OU;,,,,,
EICH,Doxepin,Ichderm cream 50mg/gm， 15gm,TDER,Temporary relief of moderate itch associated with eczematous dermatitis.,Hypersensitivity to any component of the formulation.,Local skin irritation， drowsiness. Gastrointestinal: Constipation (oral， 4% )， Nausea (topical， less than 1%; oral， 2% )， Xerostomia (topical， 1%; oral， 15% ) Neurologic: Dizziness (topical， 1% to 10% )， Somnolence (topical， 22%; oral， 6% to 9% ) Renal: Urinary retention Respiratory: Upper respiratory infection (oral， 2% to 4%),25℃以下,Apply QID,無需調整劑量,,無需調整劑量,除非治療上需要,Human data suggest low risk,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,EXT;,,,,,
EJOY,Aluminum Hydroxychloride,Joyla liquid 30mL,TDER,,適應症: Hyperhidrosis.,,室溫,Apply to skin when necessary.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
OAPR1,Hydralazine,Apresoline 10mg,CAVS,,適應症: Hypertension，為周邊血管擴張劑(A030879100) 副作用:Tachycardia， palpitation， anginal symptoms， flushing， headache， dizziness， nasal congestion， GI disturbances. 禁忌:Idiopathic SLE & related diseases. Severe tachycardia & heart failure with high cardiac output. Myocardial insufficiency due to mechanical obstruction. Right ventricular heart failure due to pulmonary HTN. Dissecting aortic aneurysm.,,室溫,Adult: 10-50 mg qid (max. dose 200-300 mg/day). Child: 0.75 mg/kg/day in 4 divided doses， up to 7.5 mg/kg/day.,,,,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
OLOP,Loperamide,Loperam 2mg (Loperamide),ALIM,Acute & chronic diarrhea,Diarrhea associated with organisms which penetrate the mucosa; pseudomembranous colitis or diarrhea associated with broad spectrum antibiotics.,Flatulence， constipation， nausea， abdominal pain， dry mouth; giddiness.,室溫藥品，仿單無特別指示儲存溫度條件,Oral Adult: Initially， 4 mg followed by 2 mg after each loose stool. Maximum dose: 16 mg daily. Child: Initially， 2 mg followed by 2 mg after each loose stool. Maximum dose: 8-12 mg daily.,無需調整劑量,,無需調整劑量,可能安全,No (limited) human data – animal data suggest low risk,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,AC;AC15;PC;PO;WM;,,,,,
ISTR,Streptomycin,Streptomycin inj 1gm,QANB,,適應症: Tuberculosis. Bacterial endocarditis. Plague， tularemia & brucellosis. Mycetoma & Whipple's disease. 副作用: Vestibular & auditory damage， nephrotoxicity， paraesthesia of face， rash， fever， urticaria， angioneurotic edema， eosinophilia. 禁忌: Hypersensitivity.,,室溫,TB Adult 15-20 mg/kg body weight/day. Max: 1 g/day. Adult > 40 years & < 50 kg Max: 500-750 mg/day. May be given as part of intermittent regimen 2 or 3 times weekly. Children 15-20 mg/kg/day. Max: 1 g/day. Non-tuberculous infections Adult 1-2 g/day in divided doses. Children Up to 40 mg/kg daily in divided doses. Max: 1 g/day. Course of treatment (except TB) should be limited to 7-14 days.,,,,盡量避免,,,Compatible 哺乳時可使用,,,,,,,1. 監測體溫、CBC、腎功能、聽覺功能。
ITRA2,Atracurium Besylate,Tracrium inj 25mg /2.5mL,CNEU,,適應症: Highly selective， nondepolarizing muscle relaxant. As an adjunct to general anaesth to enable tracheal intubation， to relax skeletal muscles during surgery or controlled ventilation & to facilitate control of mechanical ventilation in ICU patient. 副作用: Skin flushing， mild transient hypotension， bronchospasm. Rarely， anaphylactoid reactions. Dermatologic: Flushing (5%) 禁忌: Hypersensitivity to atracurium， cisatracurium or benzenesulfonic acid.,,2-8℃,Adult & children > 1 month 0.3-0.6 mg/kg. Endotracheal intubation 0.5 to 0.6 mg/kg IV. Supplementary dosage: 0.1-0.2 mg/kg. Maintenance: 0.3-0.6 mg/kg/hr by IV infusion. ICU patient initial dose: 0.3-0.6 mg/kg， maintenance rate: 0.65-0.78 mg/kg/hr.,,,,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,IVD;,,【D5W】可選 仿單建議。【N/S】可選 仿單建議。,,,1.未稀釋亦可使用
IVAG,Neostigmine Methylsulfate,Vagostin inj 0.5mg/1mL,CNEU,Paralytic ileus， myasthenia gravis， vascular spasm， ocular myasthenia gravis.,Mechanical GI or urinary tract obstruction， peritonitis.,Increased salivation & sweating， nausea & vomiting， abdominal cramps， diarrhea， allergic reactions， miosis， increased bronchial secretions， bradycardia， bronchospasm， weakness， muscle cramps， fasciculation， hypotension.,室溫藥品，仿單無特別指示儲存溫度條件,Adult: 0.5 mg IM QD， may adjust dosage to 1.5mg QD or 0.5mg several times a day， according to patient's age and symptom. Paralytic ileus: 0.5 mg Q4-5H. Ophthalmology: 0.25-1 mg SC.,無需調整劑量,,無需調整劑量,除非治療上需要,No (limited) human data – no relevant animal data,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,IM;SC;,,,,,
IVENA,Diphenhydramine,Venan inj 30mg/1mL,HIMM,,適應症: Urticaria， dermatologic disease， pruritus， acute rhinitis & hay fever. 副作用: Drowsiness， dizziness， antimuscarinic effects. CV & CNS effects. Muscular weakness. Allergic reaction. Blood disorders. 禁忌: Acute asthmatic attack. Premature infants.,,室溫,1 mL tid. Adult: 10-50mg， (max. 400 mg/day). Child: 5 mg/kg/day or 150 mg/Kg/day， (max. 300mg/day).,,Diphenhydramine is excreted into breast milk; drowsiness has been reported in a breast-feeding infant. Premature infants and newborns have a higher risk of intolerance to antihistamines. Breast-feeding is contraindicated by the manufacturer. Antihistamines may decrease maternal serum prolactin concentrations when administered prior to the establishment of nursing.,,可能安全,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,Diphenhydramine is excreted into breast milk; drowsiness has been reported in a breast-feeding infant. Premature infants and newborns have a higher risk of intolerance to antihistamines. Breast-feeding is contraindicated by the manufacturer. Antihistamines may decrease maternal serum prolactin concentrations when administered prior to the establishment of nursing.,,,,,,102.02.25 衛生署公告 (一)1. 「嬰幼兒(premature infants及neonate)不建議使用」 2. 「老人宜以最低有效起始劑量開始治療」 3.「腎功能不全者應延長給藥間隔；輕度(GFR>50 mL/min)：間隔6小時；中度(GFR 10-50 mL/min)：間隔6-12小時；重度(GFR<10 mL/min)：間隔12-18小時」。 (二) 可供靜脈注射劑型之藥品，每次diphenhydramine之劑量以10-50mg為宜，且其注射速率不宜超過25mg/min。
YAMO,美甲組 for Amocoat,美甲組 for Amocoat,ZOTH,,,,室溫藥品，仿單無特別指示儲存溫度條件,,無需調整劑量,,無需調整劑量,,,,,,TOPI;,,,,,
IPNS1,Sodium Chloride,PREFILLED 0.9% Saline 10mL,NUTR,,,,,,,,,,,,,,,,,,,
IPROG,Progesterone,Progesterone inj 25mg/1mL,HM,Amenorrhoea; Dysfunctional uterine bleeding，Recurrent miscarriage w/ progesterone deficiency，,Hypersensitivity; thrombophloebitis; cerebral apoplexy; severe hepatic impairment; undiagnosed vag bleeding， incomplete abortion， hormone-dependent carcinoma， as a diagnostic test for pregnancy; pregnancy. History or current high risk of arterial disease.,GI disturbances， appetite/wt change， fluid retention， oedema， acne， skin rash， urticaria， depression， headache， fever， fatigue， breast changes， hirsutism， changes in libido， altered menstrual cycles or irregular menstrual bleeding (rare). Gastrointestinal: Abdominal pain (oral， 10% to 20%; vaginal gel， 5% to 12%; vaginal insert， 12% )， Constipation (vaginal gel， 27%; vaginal insert， 2% to 3% )， Nausea (oral， 8%; vaginal gel， 6% to 22%; vaginal insert; 7% to 8% ) Immunologic: Viral disease (oral， 7% to 12% ) Musculoskeletal: Cramp (vaginal gel， 15% to 26% ) Neurologic: Dizziness (oral， 15% to 24%; vaginal gel， 5% )， Headache (oral， 10% to 31%; vaginal gel， 13% to 19%， vaginal insert， 3% to 4% )， Sleep disorder (vaginal gel， 18% )， Somnolence (vaginal gel， 27% ) Psychiatric: Depression (oral， 19%; vaginal gel， 11% to 19% )， Feeling nervous (vaginal gel， 16% )， Mood swings (oral， 6%; vaginal gel， 22% to 23% ) Reproductive: Breast tenderness (oral， 16% to 27% )， Large breast (vaginal gel， 40% )， Pain， Post-oocyte retrieval (vaginal insert， 25% to 28% )， Pain of breast (oral， 6% to 16%; vaginal gel， 13% )， Perineal pain (vaginal gel， 17% ) Other: Fatigue (oral， 8% to 9%; vaginal gel， 21% to 22%; vaginal insert， 2% to 3% ),室溫藥品，仿單無特別指示儲存溫度條件,Pain and bleeding of habitual abortion: 10-25mg daily， then 10mg twice a week IM.Uterine bleeding in middle age and menopause: 5-10mg daily IM.,無需調整劑量,Breastfeeding recommendations vary by manufacturer; the decision to breastfeed during therapy should consider the risk of infant exposure， the benefits of breastfeeding to the infant， and the benefits of treatment to the mother. (UpToDate)2021/0125,無需調整劑量,可能安全,Uknown 沒有資料,It may also be used to prevent spontaneous preterm birth in women with a singleton pregnancy who have a cervix <20 mm before or at 24 weeks' gestation. Use is not recommended as an intervention for women with multiple gestations (ACOG 2012). (UpToDate)2021/0125,Unknown 沒有資料,Breastfeeding recommendations vary by manufacturer; the decision to breastfeed during therapy should consider the risk of infant exposure， the benefits of breastfeeding to the infant， and the benefits of treatment to the mother. (UpToDate)2021/0125,IM;,,,,,
OBLA,Flavoxate,Bladderon 200mg,SGU,,Symptoms relief of prostatitis， urinary frequency.,,,100-200 mg tid-qid， may be reduced when symptoms improve.,,,,可能安全,,,,,,,,,,
OCAR2,Activated Charcoal,Carbomix 2gm/pk,ZADT,,適應症: 為活性碳，解毒之用(B0215491CC) Emergency treatment of acute oral poisoning or drug overdose. Also binding of bacteriotoxins & other diarrhea-inducing substances in the GIT. 副作用: Diarrhea or constipation (occasionally). 禁忌: Corrosive substance intoxication.,,,Acute poisoning -Adult 50-100 g in susp immediately followed by 20 g 4-6 hrly for a few days. -Children 1 g/kg body wt. Diarrhea -Adult 1 sachet/time several times daily. -Children 1 sachet in several divided doses.,,,,,,,,,,,,,,
OCOMB,Vitamin B Complex,Combeplex S.C. Tab,NUTR,,I: Prevention & treatment of vit. B deficiency.,,RT,Oral: 1 tab tid.,,,,安全,,,,,,,,,,
ODAI,Gliclazide,Dail 80mg,META,,適應症:為降血糖藥，宜飯前15分鐘服用(A034350100),,RT,Initial 40-80mg/day then 320mg/day qd or 160 mg bid， use before meal.,,,,除非治療上需要,,,,,,,,,,
ODEP5,Valproate Sodium,DEPAKINE 500mg,CNEU,Treatment of generalized or partial epilepsy; mania.,Acute or chronic hepatitis， personal or family history of severe hepatitis， hepatic porphyria. Combination with mefloquine.,GI disturbances， ataxia， tremor， increased appetite and weight gain， edema， thrombocytopenia， inhibition of platelet aggregation; impaired hepatic function， rashes， sedation. Rarely， pancreatitis (discontinue). Cardiovascular: Peripheral edema (3% to 8% ) Dermatologic: Alopecia (6% to 24% )， Rash (6% ) Endocrine metabolic: Increased appetite (6% )， Weight increased (4% to 9% ) Gastrointestinal: Abdominal pain (9% to 23% )， Constipation (5% )， Diarrhea (12% to 23% )， Indigestion (8% to 13% )， Loss of appetite (4% to 12% )， Nausea (22% to 48% )， Vomiting (11% to 27% ) Hematologic: Ecchymosis (4% to 5% ) Musculoskeletal: Asthenia (10% to 27% )， Backache (8% ) Neurologic: Amnesia (4% to 7% )， Ataxia (8% )， Dizziness (12% to 25% )， Headache (5% to 31% )， Insomnia (9% to 15% )， Somnolence (17% to 30% )， Tremor (9% to 57% ) Ophthalmic: Amblyopia， Blurred vision， Diplopia (16% )， Nystagmus (1% to 8% ) Otic: Tinnitus (1% to 7% ) Psychiatric: Depression (4% to 5% )， Disturbance in thinking (6% )， Feeling nervous (7% to 11% )， Mood swings (6% ) Respiratory: Bronchitis (5% )， Dyspnea (5% )， Pharyngitis (8% )， Respiratory tract infection (12% to 20% )， Rhinitis (5% ) Other: Fever (2% )， Influenza (12% ),低於25℃,Epilepsy: Adult and children > 17 kg: Initially 10-15 mg/kg/day ，then increase to the appropriate dose: 20-30 mg/kg/day in 1-2 divided doses. When epilepsy is not controlled or side effects are suspected， the blood concentration of valproic acid can be used for clinical follow-up. The effective therapeutic concentration is usually between 40-100 mg/L (280 to 700 μmol/L). Mania: Initially 600 mg daily increasing by 200 mg/day every 3 days to reach desired clinical effect. Usual dose range: 1000-2000 mg/day (20-30 mg/kg/day) Dose may be further increased to maximum 2500 mg/day if necessary.,需調整劑量,[仿單]valproate 分泌到乳汁中的量很低，濃度大約是母體血清濃度的 1%至 10%之間。 根據文獻和臨床經驗，若要哺乳，需考慮本品藥物安全性，特別是血液相關的疾病。 然而，懷孕期間暴露於 sodium valproate 的幼兒，可能降低語言能力，建議治療時不要授乳。,無需調整劑量,盡量避免,Human (and animal) data suggest risk,[仿單]懷孕期間禁止使用 valproate 治療躁鬱症。 除非癲癇治療沒有合適的替代藥物，否則懷孕期間禁止使用 valproate 治療癲癇。 除非能確實執行避孕計畫，否則具生育能力的婦女禁用 valproate。 使用本品可能會導致重大的先天性畸形，特別是神經管畸形（如：脊柱裂， spina bifida）， 且可能會導致胎兒智商下降，故本品應僅限用於無法以其他藥物控制症狀， 或有其它原因無法使用其他藥物治療之孕婦。 考量使用本品可能會有使孩童智商降低、發生神經管缺陷及其他嚴重先天性畸形之風險， 且該等風險可能發生於懷孕早期，故除非必要使用，否則不應使用於具生育能力或有懷孕可能之婦女。 避孕計畫： Valproate有高度的致畸性，且胎兒在子宮中曝露於valproate有導致先天性畸形和神經發育缺陷的高 度風險。 本品禁用於以下情況： 治療癲癇 ‧ 在懷孕狀態下，除非沒有適合的替代療法 ‧ 具有生育能力的婦女，除非能確實履行避孕計畫 治療躁鬱症 ‧ 在懷孕狀態下 ‧ 具有生育能力的婦女，除非能確實履行避孕計畫 避孕計畫條件： 處方醫師應確保 ‧ 依病人個別狀況進行評估並與之討論。這是為了保證病人能確實配合並了解治療選擇及其風險， 以及為了降低風險而採取的措施。 ‧ 所有女性病人都應針對懷孕的可能性進行評估。 ‧ 病人應了解並認知先天性畸形和神經發育缺陷的風險，包括胎兒在子宮中曝露於valproate的風險程度。 ‧ 病人應了解，治療前及治療期間(必要時)必須進行懷孕檢測。 ‧ 應告訴病人必須避孕，且病人在整個valproate治療期間必須不間斷地採取有效的避孕措施 ‧ 病人應了解，讓有癲癇或躁鬱症治療經驗的專科醫師定期(至少每年一次)評估治療結果有其必要性。 ‧ 女性病人應了解，當其計畫懷孕時，應盡快諮詢醫師，以確保能及時討論並在懷孕前及停止避孕前更換治療藥物。 ‧ 病人應了解，當發現懷孕時應緊急通知醫師。 ‧ 病人已收到病人用藥指南。 ‧ 女性病人已確認了解，使用valproate之相關風險和應注意事項 (年度風險確認表)。 這些條件亦適用於目前無性行為的婦女，除非處方醫師充分之理由認為其無懷孕風險。 藥師或其他醫療專業人員應確保 ‧ 每次調配valproate時都有交付病人卡，讓病人了解其內容。 ‧ 告知病人當計畫懷孕或疑似懷孕時，valproate不應擅自停藥，應立刻連絡專科醫師。,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,[仿單]valproate 分泌到乳汁中的量很低，濃度大約是母體血清濃度的 1%至 10%之間。 根據文獻和臨床經驗，若要哺乳，需考慮本品藥物安全性，特別是血液相關的疾病。 然而，懷孕期間暴露於 sodium valproate 的幼兒，可能降低語言能力，建議治療時不要授乳。,AC;AC15;PC;PO;WM;,,,,,[磨粉/管灌註記]本藥為持續性藥效錠應整錠吞服，不可咬碎。院內備有同成份藥水Depakin solution可供無法吞服病患使用。
ODIZ5,Diazepam,Diazepam 5mg(VALIUM 5mg),CNEU,,Anxiety， acute alcohol withdrawal， anticonvulsant.,,,Adult: Antianxiety: 2-10 mg bid-qid. Sedative-hypnotic (acute alcohol withdrawal): 10 mg tid-qid during the first 24 hrs， then 5 mg tid-qid as needed. Anticonvulsant and skeletal muscle relaxant: 2-10 mg bid-qid. Child 6 months of age and over: 0.04-0.2 mg/kg tid-qid.,,,,盡量避免,,,,,,,,,,
OELT,Levothyroxine,Eltroxin 50mcg,META,Hypothyroidism.,Hypersensitivity to the active substance or to any of the excipients. Thyrotoxicosis. Acute myocardial infarction， Acute myocarditis， Acute pancarditis.,Following excessive dosage: Anginal pain， cardiac arrhythmias， palpitation & cramps in skeletal muscle， tachycardia， diarrhoea， vomiting， tremors， restlessness， excitability， insomnia， headache， flushing， sweating， excessive weight loss & muscular weakness,勿超過室溫25℃,Adult Initially 50-100 mcg daily， adjusted 4-6 weekly by 50 mcg until normal metabolism is maintained. This may require doses of 100-200 mcg daily. Adult >50 years <50 mcg/day， with cardiac disease 25 mcg/day or 50 mcg on alternate days， may be increased by 25 mcg at intervals of 4 week. Congenital hypothyroidism Infant Initially 25 mcg， increase by 25 mcg 2-4 weekly until mild toxic symptoms appear. Juvenile myxoedema Children >1 year 2.5-5 mcg/kg/day.,無需調整劑量,[仿單]分泌到乳汁的甲狀腺素(levothyroxine)濃度很低，但足以干擾新生兒甲狀腺機能不足症的篩檢。,無需調整劑量,安全,Compatible,[仿單]已有許多的孕婦及正值生育年齡的婦女服用過ELTROXIN；到目前為止，在懷孕生產過程中並未發現任何明確形式的干擾。然而，母親甲狀腺機能低落或亢進，可能對胎兒出生或健康有不利的影響。,Compatible 哺乳時可使用,[仿單]分泌到乳汁的甲狀腺素(levothyroxine)濃度很低，但足以干擾新生兒甲狀腺機能不足症的篩檢。,AC;PO;,,,,,
OFLUN,Flunarizine,Flunazon 5mg,CAVS,,適應症: Migraine prophylaxis; Prophylaxis of peripheral and cerebrovascular disorders; Prophylaxis of vertigo and vestibular disorders. 副作用: Drowsiness. Rarely wt gain， headache， depression， gastric pain， dry mouth， insomnia， extrapyramidal reactions， galactorrhoea. 禁忌: Pregnancy， lactation， GI or urinary tract obstruction， acute porphyrias.,,室溫,5-10 mg/day at bedtime.,,,,沒有資料,,,,,,,,,,
IANEG,Metronidazole,Anegyn inj 500mg/100mL,QANB,,適應症: Infections with anaerobic causative agents. Infections of the GIT， after colon surgery， in peritonitis， purulent diseases of the pelvic cavity， infections of the female genital tract as well as puerperal fever. 副作用: GI disturbances， somnolence， vertigo， headache， ataxia， darkening of urine， itch， cutaneous eruption， peripheral neuropathy. Gastrointestinal: Abdominal discomfort (7%)， Loss of appetite， Metallic taste， Nausea and vomiting (4%) Immunologic: Jarisch Herxheimer reaction Neurologic: Dizziness (1% to 4% )， Headache (tablets， 15% to 18%; vaginal gel， 5% )， Peripheral neuropathy Reproductive: Candida infection of genital region， Symptomatic cervicitis/vaginitis (10%)， Vaginal discharge (12%) Other: Drug interaction with alcohol， Disulfiram-like reaction 禁忌: Hypersensitivity. Blood dyscrasias.,,室溫,Anaerobic infections: Max. 1 g/dose， 4 g/day. Oral: 7.5 mg/kg q6h for 7 days or longer. IV infusion only (over 1 hr): 15 mg/kg as a loading dose， then 7.5 mg/kg q6h for 7 days or longer. Amebiasis: oral: Adult: 500-750 mg tid for 10 days. Child: 11.6-16.7 mg/kg tid for 10 days. Trichomoniasis: oral: Adult: 2 g as a single dose; 1 g bid for 1 day; or 250mg tid for 7 days. Child: 5 mg/kg tid for 7 days. Giardiasis: Adult: 2 g qd x 3 days or 250-500 mg tid x 5-7 days. Child: 5 mg/kg tid x 5 days.,,,,可能安全,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,1. 監測體溫、CBC、血球分化計數，注意心智與神經功能變化。 2. 療程建議不超過10天。
EDUAC,Clindamycin + Benzoyl Peroxide,Duac gel 6gm,TDER,,適應症: Topical treatment of inflammatory acne vulgaris. 副作用: Stinging， burning or redness， peeling. Dermatologic: Dry skin (12% ) 禁忌: Patients suffering or with history of regional enteritis， ulcerative colitis or antibiotic-associated colitis.,,2-8℃,Apply once daily in the evening to the affected areas.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
ENAS,Mometasone,Nasonex 50mcg/dose， 140dose nasal spray,TENT,Treatment of seasonal or perennial rhinitis & associated symptoms in adults， adolescents & children > 3 years. Treatment of mild to severe nasal polyps & associated symptoms in adults > 18 years.,Hypersensitivity to any ingredients of Nasonex,Headache， epistaxis， pharyngitis， nasal burning， nasal irritation & nasal ulceration.,25℃以下避開熱源,Allergic rhinitis， Seasonal and perennial adult， 2 sprays/nostril (50 mcg/spray) once daily (total daily dose， 200 mcg) maximum 4 sprays/nostril (50 mcg/spray) once daily (total daily dose， 400 mcg) 2 to 11 Years: Usual dosage: 1 spray (50 mcg/spray) in each nostril once daily (total daily dose， 100 mcg Polyp of the nasal cavity and/or nasal sinus Age >18 Years : 2 sprays/nostril (50 mcg/spray) twice daily (total daily dose， 400 mcg); some patients may respond to 2 sprays/nostril once daily.,無需調整劑量,,無需調整劑量,除非治療上需要,No (limited) human data – probably compatible,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,IN;,,,,,
ESIN,Sulfamethoxazole,Sinomin oph soln 4%， 15mL,TOPH,,適應症: Trachoma or inclusion conjunctivitis. 副作用: Conjunctival or corneal scarring may occur.,,室溫,1-2 drop once-tid.,無需調整劑量,,無需調整劑量,盡量避免,No (limited) human data – probably compatible,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,
ITAX1,Docetaxel,Taxotere inj 1mg(組套用),RACA,,,,,,,,,,,,,,,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 稀釋溶液與器具應使用玻璃、聚丙烯(polypropylene)、聚烯(polyolefin)材質，不可使用含PVC塑膠材質。給藥時應使用 polyethylene 材質的輸液套。 3. 配製好的輸注溶液濃度在 0.3 - 0.74 mg/mL，室溫安定性維持 4 小時。使用前應再次目視檢查是否有結晶析出。 4. 注射前應先給予預防過敏的藥物。 5. 監測CBC、肝功能。
IPH1,Epirubicin,Pharmorubicin inj 1mg(組套用),RACA,,,,,,,,,,,,,,,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 監測CBC、肝腎功能、尿酸與血中電解質濃度。
IFORM1,Paclitaxel,Formoxol Inj 1mg(組套用),RACA,,,,,,,,,,,,,,,,,,,1. 本品為化療藥物，輸注時需注意注射部位，防止藥液外滲。 2. 稀釋溶液與器具應使用玻璃、聚丙烯(polypropylene)、聚烯(polyolefin)材質，不可使用含DEHP的PVC塑膠材質。 3. 配製好的輸注溶液濃度在 0.3 - 1.2 mg/mL，室溫下安定性維持 27小時。 4. 注射前應先給予預防過敏的藥物。輸注開始的第一個小時應監測Vital Sign。 5. 曾使用 Paclitaxel發生心臟傳導異常的病人，之後使用Paclitaxel期間應進行連續心電圖監測。 6. 監測CBC。
IBCO,Vitamin B Complex,B-complex針劑1mL (Combeplex),NUTR,,適應症: Vit B-complex deficiency. 副作用:Nausea， vomiting， abdominal cramps， pruritus， flushing， sensation of heat， faintness， pounding in the head,,室溫,1 mL as a single dose. Max dose: 1-2 mL daily.,無需調整劑量,,無需調整劑量,安全,,,Compatible 哺乳時可使用,,IM;IV;IVD;SC;,,【D5NS】可選 。【D5W】可選 。【N/S】可選 。,,,
IBLE5,Bleomycin,Bleocin inj 5mg,RACA,,適應症:Carcinoma of the skin， head & neck， lung， oesophagus， uterine cervix & thyroid， malignant lymphomas， glioma. 副作用:Severe interstitial pneumonia & pulmonary fibrosis， hypersensitivity， fever， haemorrhage， scleroderma-like changes in skin， anorexia， diarrhea， GI upsets; renal， urinary & neuropsychic disturbances， hypertrophy of venous wall， narrowing of venous lumen & induration around administration site. Phlebalgia with IV administration. Dermatologic: Alopecia (1-10%)， Skin reaction - finding， Erythema， rash， striae， vesiculation， hyperpigmentation， skin tenderness (50%) Endocrine metabolic: Shivering Gastrointestinal: Nausea and vomiting， Stomatitis Psychiatric: Confusion Other: Fever 禁忌:Severe pulmonary， renal or cardiac dysfunction. Hypersensitivity to bleomycin or any component of the formulation.,,,15-30 mg IM or IV 2 times/wk. May be given once a day for consecutive days or once a weeks.,,,,盡量避免,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,IVD;,,【N/S】可選 。,,,1. 勿使用D5W或其他含有dextrose的稀釋液。 2. IM、SQ給藥：15 mg溶於1 mL到 5 mL的NS或注射用水。 3. IV 給藥：15 mg溶於 5 mL的NS，緩慢靜脈注射超過10分鐘。 4. Intrapleural給藥：溶於50 到100 mL 的NS ，經由thoracostomy tube投藥。 5. 監測項目：Pulmonary function tests (total lung volume， forced vital capacity， carbon monoxide diffusion)， renal function， liver function， chest x-ray， temperature initially; check body weight at regular intervals
