ÃÄ«~¥N½X,¦³®Ä¤é´Á(°_),¦³®Ä¤é´Á(¨´),ÃÄ«~ª¬ºA,°Ó«~¤¤¤å¦WºÙ,°Ó«~­^¤å¦WºÙ,°Ó«~¾Ç¦W,³~®|,ÀW²v,ÃÄ²z¤ÀÃþ1,ÃÄ²z¤ÀÃþ2,¾¯«¬,¦¸³æ¦ì¾¯¶q,³q¥Î°Ó«~¦W,²Õ®Mµù°O,DCµù°O,DC´À¥NÃÄ,Á{±Äµù°O,¥i°hÃÄ,ÃÄ¥]¾÷,°·«O­­¨î,ÃÄÅÒ¦C¦Lµù°O,ÃÄ«~¶i¦ìµù°O,¾AÀ³¯g(¤¤)1,¾AÀ³¯g(¤¤)2,¾AÀ³¯g(­^)1,¾AÀ³¯g(­^)2,¥~Æ[(¤¤),¥~Æ[(­^),°Æ§@¥Î(¤¤),°Æ§@¥Î(­^),ºÞ¨î§Ü¥Í¯ÀÃþ§O,ªù¦í¶E¨Ï¥Îµù°O,¤¤¤å°Ó«~¦W,¼ÐÅÒ°Ó«~¦W,¬Ì­]ºØÃþ,¥»°|­­¨î,¶^­Ë°ª­·ÀIÃÄª«,»ó­GºÞ¥i¥Î,­¹ª«¥æ¤¬§@¥Î,Äµ»y(¤¤)1,Äµ»y(¤¤)2,Äµ»y(­^)1,Äµ»y(­^)2,³Æ¥ÎÄæ,³Æµù(­^),ÃÄ§½¤º³¡·¾³qMEMO,¯S®íÃÄ¨ÆªA°È¶O,³B¤èÅÒ¦C¦L¤ÀÃþ,Äµ»y,°ªÄµ°T,¾¯«¬´£¥Ü,³Ì¤jìH­È,³Ì¤pìH­È,»ÝªþªÅ°w,¥]¸Ë¶q,ÂIºw,¶E¶¡´£¥Ü,©T©w³~®|­­¨î,©T©wÀW²v­­¨î,ÃÄ«~¦¨¤Àµù°O,µoÃÄ½Ã±Ð,³s³B¦^§åµù°O,³s³B¶}¥ß­­¨î,¿i¯»µù°O,UD·|¹L±b,ÃÄ§½Àx¦ì,ªù¶E¨C¦¸¶q,¦í°|¨C¦¸¶q,ªù¶E¨C¦¸¶q³Ì¤j¶q,¦í°|¨C¦¸¶q³Ì¤j¶q,ªù¶E³Ì¤jµ¹ÃÄ¤Ñ¼Æ,¦í°|³Ì¤jµ¹ÃÄ¤Ñ¼Æ,ªù¶E¹w³]ªA¥Î¤Ñ¼Æ,¦í°|¹w³]ªA¥Î¤Ñ¼Æ,ªù¶E¨C¤é³Ì¤j¶q,¦í°|¨C¤é³Ì¤j¶q,ªù¦í¤p¨à¨C¤é·¥¶q/kg,ªù¦í¤p¨à¨C¦¸·¥¶q/kg,¨C¦¸¦í°|³Ì¤jÁ`¶q,¹Ï¤ù,¤p¨à°®¯»µ}ÄÀ²G,¤p¨à¾¯¶q´«ºâ1,¤p¨à¾¯¶q´«ºâ2,¤p¨à¾¯¶q´«ºâ3,¤p¨à¤é¾¯¶q«ØÄ³,ATC_CODE_1,ATC_CODE_2,ATC_CODE_3,ATC_CODE_4,ATC_CODE_5,DDD³æ¦ì¾¯¶q_­È,DDD³æ¦ì¾¯¶q_³æ¦ì,DDD_­È,DDD_³æ¦ì,­p»ù³æ¦ì,¨Æ«e¼f¬d,ªù¶Eµ¹¥I,¦í°|µ¹¥I,°·«O®Ö»ù¦¨¤À¦WºÙ,°·«OATC_CODE,°·«O¥N½X,¯S¶E°ê»ÚÂåÀø±M¥Î,HL7¾¯«¬¥N½X1,HL7¾¯«¬¥N½X2,¦M®`©ÊÃÄª«,ª`®g¾¯¦¸¤ÀÃþ,ª`®g¾¯¥]¸Ë¾¯¶q_­È,ª`®g¾¯¥]¸Ë¾¯¶q_³æ¦ì,¥]¸ËÅé¿n_­È,¥]¸ËÅé¿n_³æ¦ì,IVDµ}ÄÀ,¿éª`¼Ò¦¡,²§°Ê¤H­û,²§°Ê®É¶¡,°·«O»ù®æ,¦Û¶O»ù®æ
OFLUP,20131216,99999999,¥i¥Î,FluPINE 0.25mg,FluPINE 0.25mg,Fludiazepam,PO,TID,CNEU,CN-02-02,¤fªA,TAB,Erispan,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:µJ¼{ª¬ºA¡A ¥¢¯v¡A ¦Ù¦×µjÅË,,Indication:Relieve anxious symptoms.,,¥~ Æ[: ¥Õ¦â¶ê§ÎÃÄ¿õ,Appearance:White round tablet,¤f°®¡A «K¯µ¡A µø¤O¼Ò½k¡A ÀY·w¡A ¶ÝºÎ,Dizzy; sleepy;blurred vision;constipation; dry mouth,,¬Ò¥i¥Î,ºÖ¦w·½¿õ,FluPINE 0.25mg,,,¬O,¬O,½Ã±Ð³æ¥|,¤Å¶¼°s©Î¸²µå¬c¥Ä,,Avoid alcohol or grapefruit juice.,,­¹ª«¥æ¤¬§@¥Î: ªAÃÄ´Á¶¡Á×§K­¹¥Î¸²µå¬c¥Ä»P¶¼°s,Food interaction: Avoid grapefruit juice and alcohol.,102¦~²Ä¥|¦¸ÃÄ©e·|·s¶i,¤@¯ë,¥|¯ÅºÞ¨î,Äµ »y:¤Å¶¼°s©Î¸²µå¬c¥Ä,SA/­¹ «÷­µ/­¹ª«,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,30,30,1,1,5.00,5.00,0.03,0.03,,¦³¹Ï¤ù,,0,,0,,N05BA17,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,FLUDIAZEPAM,N05BA17,AC415191G0,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141740,2.00,3.00
OFLUV,20110120,99999999,°±¥Î,Fluvoxin 50mg,Fluvoxin 50mg,Fluvoxamine,PO,,CNEU,CN-02-04,¤fªA,TAB,Luvox,«D²Õ®M,°±¥Î,OLUVO,¤w°±¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:±¡ºü©Ê¯gª¬(«ùÄò©Ê±¡ºü§C¸¨¡Bºë¯«¥\¯à¶Ë®`¡B±j­¢¯g),,Indication: Mental depressive¡A obsessive-compulsive symptoms,,¥~ Æ[: ¥Õ¦â¶ê«ó§Î¿õ¾¯¡A ¤@­±¦LWST¡A ¤@­±¦LF 03,Appearance:White Round Tablet,¥Ö½§¬õ¯l¡AëC·ò¯l,skin rash¡A hives,,,´I¥²ÀR,Fluvoxin 50mg,,,§_,¬O,,¾ã²É§]ªA¡A¤ÅÄZ¸H¡FªAÃÄ«á¡A½Ð¤p¤ß¶}¨®©Î¾Þ§@¦MÀI¾÷±ñ,,Swallow whole¡A do not chew. Be careful driving or operating machines.,,,,,¤@¯ë,¤@¯ë,Äµ »y¡G¾ã²É§]ªA¡A¤ÅÄZ¸H¡FªAÃÄ«á¡A½Ð¤p¤ß¶}¨®©Î¾Þ§@¦MÀI¾÷±ñ,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,0,0,0,0,,¦³¹Ï¤ù,,0,,0,,,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,FLUVOXAMINE,N06AB08,A046933100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141740,6.00,8.00
OFOL,20020522,99999999,¥i¥Î,Folina 15mg,Folina 15mg,Folinate,PO,BID,ZADT,AD-02-00,¤fªA,TAB,Leucovorin,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g: ¶W¶q¨Ï¥Î¸­»Ä«ú§Ü¾¯®É¡B¥¨ªì¬õ¦å²y©Ê³h¦å,,Indication:Cancer therapy¡A treat megaloblastic anemia,,¥~ Æ[:¥Õ¦â¶ê§Î¿õ¾¯¡A ¾Tºä¥]¸Ë,Appearance:White round tablet,¤j¾¯¶q·|¤Þ°_¸z­G¤£¾A,GI upset at high doses.,,¬Ò¥i¥Î,ªÜµY¨È¿õ,Folina 15mg,,,§_,¬O,,½Ð¿í·ÓÂå®v«ü¥Ü¨Ï¥Î¡A ­Yµo¥ÍºÃ¦üÃÄª«¤£¨}¤ÏÀ³½Ð§iª¾Âå¥Í,,Follow doctor's advice. Check with doctor if you notice any side effects.,,³Æµù: Á×§K¥Î©óºû¥L©RB12¯Ê¥F±wªÌ,Avoid for untreated vit B12 deficiency.,,¤@¯ë,¤@¯ë,Äµ »y:½Ð¿í·ÓÂå®v«ü¥Ü¨Ï¥Î¡A­Yµo¥ÍºÃ¦üÃÄª«¤£¨}¤ÏÀ³½Ð§iª¾Âå¥Í¡C,,¤fªAÃÄ,,,§_,1.0,,§_,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,8.00,8.00,0,0,,¦³¹Ï¤ù,,0,,0,,V03AF03,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,LEUCOVORIN,V03AF03,AC44248100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,7.90,11.00
OFOL5,20120326,99999999,¥i¥Î,Folacin FC 5mg(¦Û¶O),Folacin FC 5mg(¦Û¶O),Folic Acid,PO,QD,NUTR,NU-01-00,¤fªA,TAB,Folic acid,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¸­»Ä¸É¥R¾¯,,Indication:Treatment of folic acid deficiency.,,¥~ Æ[:¶À¦â¶ê«ó§Î¿õ¾¯¡A ¦³¶ê§Î¨è²ª,Appearance:Yellow round tablet,¤j¾¯¶q·|¤Þ°_¸z­G¤£¾A,GI complaints at high doses.,,¬Ò¥i¥Î,¸­»Ä½¤¦ç¿õ,Folacin FC 5mg(¦Û¶O),,,§_,¬O,,½Ð¿í·ÓÂå®v«ü¥Ü¨Ï¥Î¡A ­Yµo¥ÍºÃ¦üÃÄª«¤£¨}¤ÏÀ³½Ð§iª¾Âå¥Í,,Follow doctor's advice. Check with doctor if you notice any side effects.,,,,,¤@¯ë,¤@¯ë,Äµ »y:½Ð¿í·ÓÂå®v«ü¥Ü¨Ï¥Î¡A­Yµo¥ÍºÃ¦üÃÄª«¤£¨}¤ÏÀ³½Ð§iª¾Âå¥Í¡C,,,0,0,§_,1.0,,§_,¬O,§_,³æ¤è,§_,°±¥Î,°±¥Î,¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,1,1,2.00,2.00,0,0,,¦³¹Ï¤ù,,0,,0,,B03BB01,,,,,,,,,TAB,,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,0,3.00
OFOR,20160315,99999999,¥i¥Î,Forxiga 10mg,Forxiga 10mg,Dapagliflozin,PO,QD,META,ME-02-08,¤fªA,TAB,Forxiga,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:²Ä¤G«¬¿}§¿¯f¡A¹w¨¾¤ß¦åºÞ¨Æ¥ó¡A­°§CµÇÅ¦¯f­·ÀI,,Indication:Diabetes¡A Prevention of cardiovascular disease,and kidney disease of progression.,¥~ Æ[:¶À¦âªºÂù¥YµÙ§Î½¤¦ç¿õ¡A¦L¦³¡§10¡¨¡A¥t¤@­±¡§1428¡¨¡C,Appearance:Yellow diamond tablet¡A marking: 10 and 1428,§C¦å¿}¡A¥Í´Þ¾¹·P¬V¡Aªc§¿¹D·P¬V¡A­I³¡¯kµh¡A¦h§¿¡A§C¦åÀ£,Hypoglycemia¡A genital or urinary tract infect¡A back pain¡A polyuria¡A hypotension.,,¬Ò¥i¥Î,ºÖ¾A¨Î½¤¦ç¿õ,Forxiga F.C. 10mg,,,,¬O,,­Y¥Í´Þ¾¹ªþªñ¦³À£µh¡Bµo¬õ¡B¸~µÈ¥B¦ñÀHµo¿N©Î§¿¸ô·P¬V¯gª¬¡A½Ð¥ß§Y¦^¶E¡C,Á×§K°Æ§@¥Îµo¥Í¡A½Ð¾A¶q¸É¥R¤ô¤À¡C,Monitor for signs and symptoms of Urinary tract infection and treat as needed.,Drinking plenty of water can prevent side effects.,ªA¥ÎForxigaªº±wªÌ§¿²G¸²µå¿}´ú¸Õ·|§e¶§©Ê¡C,Taking Forxiga will test positive for glucose in their urine.,2016¦~²Ä¤@¦¸ÃÄ©e·|³q¹L·s¶i,¤@¯ë,¤@¯ë,­Y¥Í´Þ¾¹ªþªñ¦³À£µh¡Bµo¬õ¡B¸~µÈ¥B¦ñÀHµo¿N©Î§¿¸ô·P¬V¯gª¬¡A½Ð¥ß§Y¦^¶E¡C,,,0,0,§_,1.0,,¬O,¬O,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,28,1,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,A10BK01,,,,,0,,0,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,DAPAGLIFLOZIN 5-10 MG + METFORMIN 0-1000 MG,A10BK01,BC26476100,,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,27.60,36.00
OFOS,19960101,99999999,°±¥Î,Fosamax 10mg,Fosamax 10mg,Alendronate,PO,QD,META,ME-06-00,¤fªA,TAB,Fosamax,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv°©½è²¨ÃP¯g,,Treatment of osteoporosis in postmenopausal women.,,¥~ Æ[:¾Tºä¥]¸Ë,,,,,,ºÖµ½¬ü¿õ,Fosamax 10mg,,,§_,§_,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y:½Ð¦b¦­±áªÅ¸¡®É»P¤j¶q¶}¤ô¨ÖªA ¡AªAÃÄ«á¥b¤p®É½Ð¤Å½ö¤U¡C¶·¾ã²É§]ªA¡C,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,999.00,999.00,999,999,28,1,0,0,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,TAB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,ALENDRONATE,M05BA04,B022015100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202401301502,41.60,52.00
OFOS7,20030103,99999999,°±¥Î,Fosamax 70mg,Fosamax 70mg,Alendronate,PO,QW,META,ME-06-00,¤fªA,TAB,Fosamax,«D²Õ®M,°±¥Î,OFOSP,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv°©½è²¨ÃP¯g,,Treatment of osteoporosis,,¥~ Æ[:¥Õ¦â¾ò¶ê§Î¿õ¾¯,Appearance:White Elliptic Tablet,,,,¬Ò¥i¥Î,ºÖµ½¬ü¿õ,Fosamax 70mg,,,§_,§_,,,,,,,,,¤@¯ë,¤@¯ë,Äµ »y:½Ð¦b¦­±áªÅ¸¡®É»P¤j¶q¶}¤ô¨ÖªA ¡AªAÃÄ«á¥b¤p®É½Ð¤Å½ö¤U¡C¶·¾ã²É§]ªA¡C,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,°±¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,99,99,1,1,0,0,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,TAB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,ALENDRONATE 70 MG¡ÏVITAMIN D 0-5600IU,M05BA04,B023167100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,259.00,311.00
OFOSP,20150615,99999999,°±¥Î,Fosamax Plus 70mg/5600IU,Fosamax Plus 70mg/5600IU,Alendronate + Colecalciferol,PO,QWAC,META,ME-06-00,¤fªA,TAB,Fosamax,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,±ø¥ó¤Uµ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¥Dªv°©½è²¨ÃP¯g,,Indication:Treatment of osteoporosis.,,¥~ Æ[:¥Õ¦âªø¤è§Î¿õ¾¯¡A¦L¦³"270"¦r¼Ë,Appearance:White oblong tablet¡A marking: 270,¸¡µh¡A ÃE°©Ãö¸`Ãa¦º¡A «D¨å«¬ªÑ°©°©§é,Abdominal pain¡A jaw osteonecrosis¡A atypical femur fractures.,,¬Ò¥i¥Î,ºÖµ½¬ü«O°©¿õ 70²@§J/5600°ê»Ú³æ¦ì,Fosamax Plus 70mg/5600IU,,,§_,§_,½Ã±Ð³æ¤@,½Ð¦b¦­±áªÅ¸¡®É»P¤j¶q¶}¤ô¨ÖªA ¡AªAÃÄ«á¥b¤p®É½Ð¤Å½ö¤U¡C¶·¾ã²É§]ªA¡C,,,,,,102¦~²Ä¥|¦¸ÃÄ©e·|¨MÄ³§R°£¡A 104¦~²Ä¤G¦¸ÃÄ©e±Ò¥Î,¤@¯ë,¤@¯ë,Äµ »y:½Ð¦b¦­±áªÅ¸¡®É»P¤j¶q¶}¤ô¨ÖªA ¡AªAÃÄ«á¥b¤p®É½Ð¤Å½ö¤U¡C¶·¾ã²É§]ªA¡C,,,0,0,§_,1.0,,§_,§_,¬O,½Æ¤è,§_,¥i¥Î,¥i¥Î,¤£¥i¿i,¬O,,1.00,1.00,1.00,1.00,999,999,28,28,1.00,1.00,0,0,,¦³¹Ï¤ù,,0,,0,,M05BA04,A11CC05,M05BB03,,,0,,0,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,ALENDRONATE 70 MG¡ÏVITAMIN D 0-5600IU,M05BB03,BC26136100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,152.00,182.00
OFOSR,20160324,99999999,¥i¥Î,Fosrenol Chewable 750mg,Fosrenol Chewable 750mg,Lanthanum carbonate,PO,TIDM,META,NU-04-04,¤fªA,TAB,,«D²Õ®M,,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,°·«O¤£µ¹¥I,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀøºC©ÊµÇ°IºÜ¯f¤H¤§°ªÁC»ÄÆQ¦å¯g¡C,,Indication:Reduction of serum phosphate in patients with,stage 5 chronic kidney disease.,¥~ Æ[:¥Õ¦â¶ê«ó«¬¿õ¾¯¡A¦L¦³S405¤Î750,Appearance: White color round tablet¡A markimg: S405 and 750,«K¯µ¡A®ø¤Æ¤£¨}¡AÀYµh,constipation¡A dyspepsia¡A headache,,¥u¥Î©óªù¶E¤Î¦í°|STAT,ºÖ´µ§Q¿Õ©CÄZ¿õ,Fosrenol Chewable 750mg,,,,¬O,,½Ð«r¸H«á¦A§]ªA¡C¤£¥i¾ãÁû§]ªA,,Please chew this tablet well before swallowing. Do not swallow the whole tablet.,,,,2014¦~²Ä¥|©uÃÄ©e·|³q¹L¦Û¶OÁ{±Ä,¤@¯ë,¤@¯ë,¿õ¾¯½Ð«r¸H«á¦A§]ªA¡C,,,0,0,§_,15.0,,§_,¬O,§_,³æ¤è,§_,°±¥Î,°±¥Î,¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,7,1,6.00,6.00,0,0,,¦³¹Ï¤ù,,0,,0,,V03AE03,,,,,0,,0,,TAB,,¤£µ¹¥I¶·¦Û¥I,¤£µ¹¥I¶·¦Û¥I,,,,§_,SolidDrugForm,CHEWTAB,,,,,,,,,PH047,202303141741,0,115.00
OFOX,20071224,99999999,°±¥Î,FOXate 200 mg,FOXate 200 mg,Flavoxate,PO,,SGU,UR-05-00,¤fªA,TAB,Bladderon,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ªvÀø«e¦C¸¢©Î»H¯Öµoª¢¤§ÀW§¿,,Indication:Urinary incontinence¡A urgency and frequency.,,¥~ Æ[:¥Õ¦â¶ê§Î¿õ¾¯¡A ¤@­±¦LFOXATE 200¦r¼Ë,Appearance:White round tablet,¸z­G¾÷¯à»ÙÃª¡A ÀYµh¡A ÂíÀR¡A ¯t·w,GI disturbances; headache¡A sedation¡A vertigo.,,¬Ò¥i¥Î,¥ñ¶¶½¤¦ç¿õ,FOXate 200 mg,,,§_,¬O,,¥»«~¥i¯à·|­°§C±zªºª`·N¤O¡A ÄµÄ±©Ê¤Î°Ê§@¨ó½Õ¯à¤O,,May cause dizziness¡A weakness¡A lack of coordination.,,³Æµù: «C¥ú²´±wªÌ¤p¤ß¨Ï¥Î,Should be used with caution in glaucoma.,,¤@¯ë,¤@¯ë,Äµ »y:¥»«~¥i¯à·|­°§C±zªºª`·N¤O¡BÄµÄ±©Ê¤Î°Ê§@¨ó½Õ¯à¤O,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,1.00,1.00,99,99,1,1,0,0,0,0,,¦³¹Ï¤ù,,0,,0,,G04BD02,,,,,,,,,TAB,,°·«Oµ¹¥I,°·«Oµ¹¥I,FLAVOXATE,G04BD02,AC44572100,§_,SolidDrugForm,ORTAB,,,,,,,,,PH047,202303141741,3.61,5.00
OFRIN,20171215,99999999,°±¥Î,Ferrin 150/0.025/1mg,Ferrin 150/0.025/1mg,Iron(III) + Cyanocobalamin + Folic acid,PO,QD,NUTR,NU-01-00,¤fªA,CAP,Iron polysaccharide complex,«D²Õ®M,°±¥Î,,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:ÅK¡B¸­»Ä¡Bºû¥Í¯ÀB12¯Ê¥F¯g¡C,,Indication:Treatment of iron¡A Vit B12¡A folic acid deficiency,,¥~ Æ[:¶Â/¬õ¦âªø¶ê¬W§Î½¦Ån,Appearance:Black/red cylinder capsule,­G¸z¤£¾A¡A«K¯µ¡Aäú¤ß,GI irritation¡A constipation¡A nausea.,,¬Ò¥i¥Î,ÅK¹F¦å½¦Ån,Ferrin 150/0.025/1 mg,,,,¬O,,½Ð¤Å»P¤û¥¤¤Î¨î»Ä¾¯¨ÖªA,ªA¥Î«e«á30¤ÀÄÁ¤º¤Å¶¼¥Î©@°Ø©Î¯ù,Avoid taking with milk or antacid.,Avoid drinking coffee or tea within 30 minutes.,¥»ÃÄ«~¥i¯àÅýÁT«K§e¶Â¦â.,This medicine may cause black stools.,,¤@¯ë,¤@¯ë,½Ð¤Å»P¤û¥¤¤Î¨î»Ä¾¯¨ÖªA,,,0,0,§_,1.0,,§_,§_,§_,½Æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,2.00,2.00,999,999,1,1,2.00,2.00,0,0,,¦³¹Ï¤ù,,0,,0,,B03AE01,B03AB02,B03BB01,B03BA01,,0,,0,,CAP,,°·«Oµ¹¥I,°·«Oµ¹¥I,FERRIC OXIDE SACCHARATED 150MG + VITAMIN B12 25MCG + FOLIC ACID 1MG,B03AB02,AC58113100,§_,SolidDrugForm,ORCAP,,,,,,,,,PH047,202303141741,4.44,6.00
OFRIS,20210917,99999999,¥i¥Î,Frisium 10mg,Frisium 10mg,Clobazam,PO,HS,CNEU,CN-02-02,¤fªA,TAB,Frisium,«D²Õ®M,°±¥Î,,­­¥æ¥I½Õ¾¯,¬O,¥i¥ÎÃÄ¥]¾÷,¥i¥Î,¤£¦LÃÄÅÒ,Á`¶q¶i¦ì,¾AÀ³¯g:µJ¼{ª¬ºA¡BÅöíw¯g¤§»²§UªvÀø,,Indication:Antianxiety or adjunct therapy in epilepsy.,,¥~ Æ[:¥Õ¦â¶ê«ó§Î¿õ¾¯¡A ¤W¦³B GL¼Ð¥Ü.,Appearance:White round tablet¡A with B GL marked.,­¹±ý­°§C¡Aäú¤ß¡A¤f°®¡A«K¯µ¡A§x­Â¡A¯h³Ò,inappetence¡A nausea¡A dry mouth¡A constipation¡A drowsiness¡A fatigue,,¥u¥Î©óªù¶E,ªA§Q¹ç¿õ10²@§J,Frisium 10mg,,,¬O,¬O,,­Yµo²{¥Ö½§µo¯l½Ð¥ß§Y¿Ô¸ß±zªºÂåÀø¤H­û,,Please consult your medical personnel if have a skin rash after using this drug.,,ªvÀø´Á¶¡À³Á×§K¶¼°s.,Avoid alcohol during treatment.,202109­Ó®×Á{±Ä¡A­­¥æ¥I½Õ¾¯,¤@¯ë,¥|¯ÅºÞ¨î,­Yµo²{¥Ö½§µo¯l½Ð¥ß§Y¿Ô¸ß±zªºÂåÀø¤H­û,,,0,0,§_,1.0,,§_,§_,§_,³æ¤è,,°±¥Î,¥i¥Î,¤£¥i¿i,§_,,1.00,1.00,8.00,8.00,30,1,28,1,8.00,8.00,0.14,0.14,,¦³¹Ï¤ù,,0,,0,,N05BA09,,,,,10.00,mg,20.00,mg,TAB,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,CLOBAZAM,N05BA09,BC23071100,,SolidDrugForm,ORTAB,,,0,,0,,,,PH034,202109220957,2.71,4.00
OFT207,19960101,99999999,°±¥Î,FT 207 200mg,FT 207 200mg,Futraful,PO,,RACA,ON-02-00,¤fªA,CAP,FT 207,«D²Õ®M,°±¥Î,OUFU,¤@¯ë¥i¥Î,¬O,¤£¥i¥ÎÃÄ¥]¾÷,,¤@¯ë,Á`¶q¶i¦ì,¾AÀ³¯g:¬°§Ü¸~½FÃÄ,,,,,,,,,,,FT 207 200mg,,,§_,¬O,,,,,,,,,¤@¯ë,¤@¯ë,,,,,,§_,1.0,,§_,§_,§_,³æ¤è,§_,¥i¥Î,¥i¥Î,¥i¿i,¬O,,1.00,1.00,999.00,999.00,999,999,1,1,0,0,0,0,,µL¹Ï¤ù,,0,,0,,,,,,,,,,,CAP,§_,°·«Oµ¹¥I,°·«Oµ¹¥I,TEGAFUR (=FTORAFUR),L01BC03,B018151100,§_,SolidDrugForm,ORCAP,,,,,,,,,PH047,202303141741,34.70,43.00
